id,activeOnDatingApps,activeOnDatingAppsLastChangedAt,additionalComments,additionalCommentsLastChangedAt,appsUsed,appsUsedLastChangedAt,attribute-Age,attribute-AgeLastChangedAt,attribute-Beard,attribute-BeardLastChangedAt,attribute-Clothes,attribute-ClothesLastChangedAt,attribute-Facial Expression,attribute-Facial ExpressionLastChangedAt,attribute-Glasses,attribute-GlassesLastChangedAt,attribute-Hair,attribute-HairLastChangedAt,attribute-Hobbies,attribute-HobbiesLastChangedAt,attribute-Job,attribute-JobLastChangedAt,attribute-Pose,attribute-PoseLastChangedAt,batchID,batchIDLastChangedAt,chosenCharacterBeard,chosenCharacterBeardLastChangedAt,chosenCharacterGlasses,chosenCharacterGlassesLastChangedAt,chosenCharacterHair,chosenCharacterHairLastChangedAt,chosenCharacterHobby,chosenCharacterHobbyLastChangedAt,chosenCharacterInfluenceAge,chosenCharacterInfluenceAgeLastChangedAt,chosenCharacterInfluenceBeard,chosenCharacterInfluenceBeardLastChangedAt,chosenCharacterInfluenceClothes,chosenCharacterInfluenceClothesLastChangedAt,chosenCharacterInfluenceFacialExpression,chosenCharacterInfluenceFacialExpressionLastChangedAt,chosenCharacterInfluenceGlasses,chosenCharacterInfluenceGlassesLastChangedAt,chosenCharacterInfluenceHair,chosenCharacterInfluenceHairLastChangedAt,chosenCharacterInfluenceHobbies,chosenCharacterInfluenceHobbiesLastChangedAt,chosenCharacterInfluenceJob,chosenCharacterInfluenceJobLastChangedAt,chosenCharacterInfluencePose,chosenCharacterInfluencePoseLastChangedAt,chosenCharacterSimilar_age,chosenCharacterSimilar_ageLastChangedAt,chosenCharacterSimilar_beard,chosenCharacterSimilar_beardLastChangedAt,chosenCharacterSimilar_clothes,chosenCharacterSimilar_clothesLastChangedAt,chosenCharacterSimilar_glasses,chosenCharacterSimilar_glassesLastChangedAt,chosenCharacterSimilar_hair,chosenCharacterSimilar_hairLastChangedAt,chosenCharacterSimilar_hobbies,chosenCharacterSimilar_hobbiesLastChangedAt,chosenCharacterSimilar_job,chosenCharacterSimilar_jobLastChangedAt,chosenProfile,chosenProfileLastChangedAt,dislikedProfile,dislikedProfileLastChangedAt,factor-Dietary preferences,factor-Dietary preferencesLastChangedAt,factor-Education Level,factor-Education LevelLastChangedAt,factor-Height,factor-HeightLastChangedAt,factor-Hobbies,factor-HobbiesLastChangedAt,factor-Income level,factor-Income levelLastChangedAt,factor-Language spoken,factor-Language spokenLastChangedAt,factor-Mental Health,factor-Mental HealthLastChangedAt,factor-Nationality,factor-NationalityLastChangedAt,factor-Number of children,factor-Number of childrenLastChangedAt,factor-Pet ownership,factor-Pet ownershipLastChangedAt,factor-Physical Health,factor-Physical HealthLastChangedAt,factor-Political affiliation,factor-Political affiliationLastChangedAt,factor-Popularity on App,factor-Popularity on AppLastChangedAt,factor-Profession,factor-ProfessionLastChangedAt,factor-Race / Ethnicity,factor-Race / EthnicityLastChangedAt,factor-Relationship history,factor-Relationship historyLastChangedAt,factor-Social media activity,factor-Social media activityLastChangedAt,frequency,frequencyLastChangedAt,gameID,gameIDLastChangedAt,likedProfile,likedProfileLastChangedAt,ownProfileID,ownProfileIDLastChangedAt,playerID,playerIDLastChangedAt,recommend-Dietary preferences,recommend-Dietary preferencesLastChangedAt,recommend-Education Level,recommend-Education LevelLastChangedAt,recommend-Height,recommend-HeightLastChangedAt,recommend-Hobbies,recommend-HobbiesLastChangedAt,recommend-Income level,recommend-Income levelLastChangedAt,recommend-Language spoken,recommend-Language spokenLastChangedAt,recommend-Mental Health,recommend-Mental HealthLastChangedAt,recommend-Nationality,recommend-NationalityLastChangedAt,recommend-Number of children,recommend-Number of childrenLastChangedAt,recommend-Pet ownership,recommend-Pet ownershipLastChangedAt,recommend-Physical Health,recommend-Physical HealthLastChangedAt,recommend-Political affiliation,recommend-Political affiliationLastChangedAt,recommend-Popularity on App,recommend-Popularity on AppLastChangedAt,recommend-Profession,recommend-ProfessionLastChangedAt,recommend-Race / Ethnicity,recommend-Race / EthnicityLastChangedAt,recommend-Relationship history,recommend-Relationship historyLastChangedAt,recommend-Social media activity,recommend-Social media activityLastChangedAt,recommendationDiversity,recommendationDiversityLastChangedAt,recommendationQuality,recommendationQualityLastChangedAt,roundID,roundIDLastChangedAt,surveyAttributeAge,surveyAttributeAgeLastChangedAt,surveyAttributeBeard,surveyAttributeBeardLastChangedAt,surveyAttributeClothes,surveyAttributeClothesLastChangedAt,surveyAttributeFacialExpression,surveyAttributeFacialExpressionLastChangedAt,surveyAttributeGlasses,surveyAttributeGlassesLastChangedAt,surveyAttributeHair,surveyAttributeHairLastChangedAt,surveyAttributeHobbies,surveyAttributeHobbiesLastChangedAt,surveyAttributeJob,surveyAttributeJobLastChangedAt,surveyAttributePose,surveyAttributePoseLastChangedAt,surveySystemImprovement,surveySystemImprovementLastChangedAt,surveyVariety,surveyVarietyLastChangedAt,systemVariety,systemVarietyLastChangedAt
01HZFG36FQ2NAACF0V4YED9P1F,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:49:35.223361+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,2024-06-03T17:49:37.738466+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:49:35.223361+01:00,75,2024-06-03T17:49:37.738281+01:00,1,2024-06-03T17:49:35.226867+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:49:35.223361+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8D1KN25625JXG4TS0Q3,2024-06-03T17:49:35.223361+01:00,,,,,,,,,,,,,,,,,,,,,,,,
01HZFG3WTV7P6610TSJ4D8CR6G,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:49:58.107829+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,2024-06-03T17:50:00.722157+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:49:58.107829+01:00,49,2024-06-03T17:50:00.721922+01:00,1,2024-06-03T17:49:58.111898+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:49:58.107829+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8D1KN25625JZHJZ31NY,2024-06-03T17:49:58.107829+01:00,,,,,,,,,,,,,,,,,,,,,,,,
01HZFG4AD4DD7C43HFXT4M14KM,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:50:12.004976+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2024-06-03T17:50:14.721268+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:50:12.004976+01:00,9,2024-06-03T17:50:14.721071+01:00,1,2024-06-03T17:50:12.008027+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:50:12.004976+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8D2HB53PR3P4QD6XDV4,2024-06-03T17:50:12.004976+01:00,,,,,,,,,,,,,,,,,,,,,,,,
01HZFG652RS7DWF0GBGA2624DT,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:51:12.088498+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,2024-06-03T17:51:19.122649+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:51:12.088498+01:00,51,2024-06-03T17:51:19.122514+01:00,1,2024-06-03T17:51:12.091735+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:51:12.088498+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8D64VHEPDRVF9TGTN9W,2024-06-03T17:51:12.088498+01:00,,,,,,,,,,,,,,,,,,,better,2024-06-03T17:51:19.121891+01:00,notSure,2024-06-03T17:51:19.1223+01:00,,
01HZFG7G90GJMFHJ7X5GRY073E,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:51:56.32044+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,2024-06-03T17:52:03.788349+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:51:56.32044+01:00,87,2024-06-03T17:52:03.788572+01:00,1,2024-06-03T17:51:56.325014+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:51:56.32044+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8DNH6R00PMCEPJABCK2,2024-06-03T17:51:56.32044+01:00,,,,,,,,,,,,,,,,,,,no,2024-06-03T17:52:03.787764+01:00,notSure,2024-06-03T17:52:03.788096+01:00,,
01HZFG3T9HHXFWYXHZ3YS7G5YR,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:49:55.505748+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,2024-06-03T17:49:58.088738+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:49:55.505748+01:00,148,2024-06-03T17:49:58.088559+01:00,1,2024-06-03T17:49:55.508817+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:49:55.505748+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8D1KN25625JZ0RE9J51,2024-06-03T17:49:55.505748+01:00,,,,,,,,,,,,,,,,,,,,,,,,
01HZFG7QJZSMMK98A833370ZZW,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:52:03.807597+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,2024-06-03T17:52:06.237368+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:52:03.807597+01:00,229,2024-06-03T17:52:06.23688+01:00,1,2024-06-03T17:52:03.811605+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:52:03.807597+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8DNH6R00PMCE499C4H1,2024-06-03T17:52:03.807597+01:00,,,,,,,,,,,,,,,,,,,,,,,,
01HZFG7SZGDXCKXJ5CP2RB30PA,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:52:06.256891+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,2024-06-03T17:52:09.039045+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:52:06.256891+01:00,59,2024-06-03T17:52:09.039291+01:00,1,2024-06-03T17:52:06.260941+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:52:06.256891+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8DQBAGJCBC8DR0R0Z1X,2024-06-03T17:52:06.256891+01:00,,,,,,,,,,,,,,,,,,,,,,,,
01HZFG155QW66VW3D2MX0XZR7S,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:48:28.343147+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,2024-06-03T17:48:32.007716+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:48:28.343147+01:00,167,2024-06-03T17:48:32.007408+01:00,1,2024-06-03T17:48:28.346936+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:48:28.343147+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8CZ12F7XK1H03B4N49Y,2024-06-03T17:48:28.343147+01:00,,,,,,,,,,,,,,,,,,,,,,,,
01HZFG2X9KEK4YRWYT7HX267A1,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:49:25.81111+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,2024-06-03T17:49:32.289099+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:49:25.81111+01:00,114,2024-06-03T17:49:32.28891+01:00,1,2024-06-03T17:49:25.814875+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:49:25.81111+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZFFZ8D0H0RH161MYEW44RVH,2024-06-03T17:49:25.81111+01:00,,,,,,,,,,,,,,,,,,,,,,,,
