id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01HZHCJCJ6FEFEZ7D15KFFM0EP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T11:26:27.526613+01:00,,,true,2024-06-04T11:26:27.547322+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T11:26:27.526613+01:00,terminated,2024-06-04T11:43:01.45827+01:00
01HZHDH5HC2Y07710VWBHB3GPD,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T11:43:16.140632+01:00,all games finished,2024-06-04T11:59:09.272755+01:00,true,2024-06-04T11:43:16.152211+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T11:43:16.140632+01:00,ended,2024-06-04T11:59:09.272755+01:00
01HZSEVNF9BB7BB6AT3R7V1RPB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T14:40:24.169946+01:00,,,true,2024-06-07T14:40:24.181353+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T14:40:24.169946+01:00,terminated,2024-06-07T14:53:51.547027+01:00
01HZYFDTT3D83F64EZV1WVJXF0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-09T13:26:31.619697+01:00,,,true,2024-06-09T13:26:31.635233+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-09T13:26:31.619697+01:00,terminated,2024-06-09T16:21:44.878761+01:00
01J01EHP1TE6CP5ZNNAD6C8FWM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-10T17:08:52.538891+01:00,,,true,2024-06-10T17:08:52.560408+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-10T17:08:52.538891+01:00,running,2024-06-10T17:08:53.22961+01:00
01HZKWWBX3GN6QV04C61GPS09V,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-05T10:50:00.611482+01:00,,,true,2024-06-05T10:50:00.631064+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-05T10:50:00.611482+01:00,terminated,2024-06-05T10:50:27.145142+01:00
01HZMQQ6FSDQCJC3B3BNPPRAGQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-05T18:39:02.777663+01:00,all games finished,2024-06-05T19:59:53.159599+01:00,true,2024-06-05T18:39:02.79364+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-05T18:39:02.777663+01:00,ended,2024-06-05T19:59:53.159599+01:00
01HZSG9T0TZBK9W6QR9KEN15FG,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T15:05:36.154985+01:00,,,true,2024-06-07T15:05:36.172469+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T15:05:36.154985+01:00,terminated,2024-06-07T15:14:33.79366+01:00
01HZSGT7QNTFC0VX4G50G6AAAC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T15:14:34.48567+01:00,,,true,2024-06-07T15:14:34.503814+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T15:14:34.48567+01:00,terminated,2024-06-07T15:20:53.199982+01:00
01HZHCM5513HH5NH84XMT7X1YR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T11:27:25.473165+01:00,,,true,2024-06-04T11:27:25.485715+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T11:27:25.473165+01:00,terminated,2024-06-04T11:43:09.60785+01:00
