id,chosenProfile,chosenProfileLastChangedAt,dislikedProfiles,dislikedProfilesLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,introDone,introDoneLastChangedAt,likedProfiles,likedProfilesLastChangedAt,opponentIDs,opponentIDsLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,roundsPlayed,roundsPlayedLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01HZHDJ8426ECNK90CR9RPTWGY,29,2024-06-04T11:44:34.844313+01:00,,,game ended,2024-06-04T11:59:09.272755+01:00,true,2024-06-04T11:59:19.26969+01:00,"{""feedback"":""""}",2024-06-04T11:59:19.268567+01:00,01HZHDH5HQ5NPNCVSGWRZ5TM5T,2024-06-04T11:43:51.573131+01:00,true,2024-06-04T11:43:57.559167+01:00,,,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",2024-06-04T11:53:33.889229+01:00,01HZHDJ83E8EPQ84BMV0D5NECZ,2024-06-04T11:43:51.554563+01:00,Percy Pig,2024-06-04T11:43:51.554563+01:00,50,2024-06-04T11:53:33.897785+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-04T11:43:51.573131+01:00,Solo,2024-06-04T11:43:51.573131+01:00,{},2024-06-04T11:43:51.617702+01:00
01HZN00CXTZFMC12W5A0F9F7RC,153,2024-06-05T21:32:01.279988+01:00,,,game terminated,2024-06-05T21:57:12.385823+01:00,,,,,01HZN0051C9YE3SMGZ7PTMNH0N,2024-06-05T21:03:52.896994+01:00,true,2024-06-05T21:03:56.675079+01:00,,,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",2024-06-05T21:57:12.389232+01:00,01HZN00CXETE0JXBNR7QF7KMCK,2024-06-05T21:03:52.890861+01:00,hnbgvfdc,2024-06-05T21:03:52.890861+01:00,31,2024-06-05T21:57:12.399423+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-05T21:03:52.896994+01:00,Solo,2024-06-05T21:03:52.896994+01:00,{},2024-06-05T21:03:52.907884+01:00
01HZSFMFYRHEA212G79PEZMWHT,97,2024-06-07T14:54:20.41719+01:00,"[15,5,30,76,80,71,2,26,81,17,7,4,21,245,78,6,86,29,91,9,75,144,24,70,68,1,42,14,146,20,77,23]",2024-06-07T14:58:44.76176+01:00,game terminated,2024-06-07T14:58:44.756209+01:00,,,,,01HZSFMAR8H3RXQCYKK5562K1S,2024-06-07T14:53:57.727908+01:00,true,2024-06-07T14:54:00.040601+01:00,"[233,227,248,161,186,185,179,167,251,225,222,188,229,22,181,171,162,240,143,224,166,133,99,170,175,243,50,249,110,234,176,183]",2024-06-07T14:58:44.76176+01:00,"[233,15,227,5,248,30,161,76,186,80,185,71,179,2,167,26,251,81,225,17,222,7,188,4,229,21,22,245,181,78,171,6,162,86,240,29,143,91,224,9,166,75,133,144,99,24,170,70,175,68,243,1,50,42,249,14,110,146,234,20,176,77,183,23]",2024-06-07T14:55:45.234843+01:00,01HZSFMFYDQXK9G2XT7CKV8MZX,2024-06-07T14:53:57.7205+01:00,xdcfvgbhnj,2024-06-07T14:53:57.7205+01:00,32,2024-06-07T14:58:44.776469+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T14:53:57.727908+01:00,Solo,2024-06-07T14:53:57.727908+01:00,{},2024-06-07T14:53:57.73811+01:00
01HZSH62S1YVBR46FJFJ1T8WVQ,1,2024-06-07T15:21:24.743905+01:00,"[103,27,55,199,218,16,69,18,93,198,170,230,224,192,191,203,142,78,113,252,159,162,232,131,2,209,104,210,134,219,4,184,8,41,32,54,81,123,169,43,158,50,133,21,215,120,242,229,64,211]",2024-06-07T15:32:07.426131+01:00,game terminated,2024-06-07T15:32:15.615053+01:00,,,,,01HZSH5TPHX4XFJHM59FC8JH7H,2024-06-07T15:21:02.636605+01:00,true,2024-06-07T15:21:05.126739+01:00,"[5,223,31,167,196,175,155,179,202,144,231,174,140,154,193,187,183,108,129,148,251,249,214,200,145,147,235,177,132,153,122,110,141,194,181,182,109,221,244,226,241,233,136,195,245,173,225,168,117,247]",2024-06-07T15:32:07.426131+01:00,"[5,103,223,27,31,55,167,199,196,218,175,16,155,69,179,18,202,93,144,198,231,170,174,230,140,224,154,192,193,191,187,203,183,142,108,78,129,113,148,252,251,159,249,162,214,232,200,131,145,2,147,209,235,104,177,210,132,134,153,219,122,4,110,184,141,8,194,41,181,32,182,54,109,81,221,123,244,169,226,43,241,158,233,50,136,133,195,21,245,215,173,120,225,242,168,229,117,64,247,211]",2024-06-07T15:32:02.890008+01:00,01HZSH62RMVCK740SXRG85FC83,2024-06-07T15:21:02.625357+01:00,y thbrgvefcwxq,2024-06-07T15:21:02.625357+01:00,50,2024-06-07T15:32:07.447345+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T15:21:02.636605+01:00,Solo,2024-06-07T15:21:02.636605+01:00,{},2024-06-07T15:21:02.651054+01:00
01J01EHTJFYPAVRVVPF3P5MY1X,,,,,null,2024-06-10T17:08:57.174702+01:00,,,,,01J01EHP2EYBEMPXJG31YPDQK4,2024-06-10T17:08:57.174702+01:00,true,2024-06-10T17:09:00.733315+01:00,,,,,01J01EHTHX713S8XE8X7SEJYZ4,2024-06-10T17:08:57.167121+01:00,jynthbrgevfwcd,2024-06-10T17:08:57.167121+01:00,,,"{""numSwipes"":50,""playerCount"":1}",2024-06-10T17:08:57.174702+01:00,Solo,2024-06-10T17:08:57.174702+01:00,{},2024-06-10T17:08:57.185365+01:00
01HZSDZWSY6Z06AGZG8S7NR4YZ,134,2024-06-07T14:25:35.364927+01:00,"[[25,184],[9,187],[16,230],255,11,28,0,30,74,69,79,196,26,179,178,null]",2024-06-07T14:40:23.066418+01:00,game terminated,2024-06-07T14:40:23.061803+01:00,,,,,01HZSDZN0GYX9RKNV9Z23N1GZV,2024-06-07T14:25:14.180336+01:00,true,2024-06-07T14:25:16.759795+01:00,"[[4,189],[81,181],[72,238],78,252,180,238,170,182,171,36,161,251,241,187,null]",2024-06-07T14:40:23.066418+01:00,"[[4,189],[25,184],[81,181],[9,187],[72,238],[16,230],78,255,252,11,180,28,238,0,170,30,182,74,171,69,36,79,161,196,251,26,241,179,187,178]",2024-06-07T14:40:18.256446+01:00,01HZSDZWSJQ94320XBMM5C6QQK,2024-06-07T14:25:14.17409+01:00,xtcfyvgbhnjk,2024-06-07T14:25:14.17409+01:00,16,2024-06-07T14:40:23.079865+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T14:25:14.180336+01:00,Solo,2024-06-07T14:25:14.180336+01:00,{},2024-06-07T14:25:14.191335+01:00
01HZSGTDSWQDNS7RK28FS655GR,168,2024-06-07T15:15:01.362927+01:00,"[215,36,80,93,84,159,87,54,67,126,101,154,213,240,3,79,4,163,205,241,71,137,141,178,153,181,216,198,245,210,131,160,204,133,217,195,203,254,172,207,197,209,null]",2024-06-07T15:20:53.235744+01:00,game terminated,2024-06-07T15:20:53.227494+01:00,,,,,01HZSGT7RC0HKT1MN5HQC4EGMK,2024-06-07T15:14:40.711227+01:00,true,2024-06-07T15:14:42.803283+01:00,"[252,201,155,135,183,180,119,228,248,226,142,144,246,187,107,208,200,179,138,224,111,212,243,148,174,128,199,221,140,227,249,206,233,194,186,230,132,234,247,150,196,218,null]",2024-06-07T15:20:53.235744+01:00,"[252,215,201,36,155,80,135,93,183,84,180,159,119,87,228,54,248,67,226,126,142,101,144,154,246,213,187,240,107,3,208,79,200,4,179,163,138,205,224,241,111,71,212,137,243,141,148,178,174,153,128,181,199,216,221,198,140,245,227,210,249,131,206,160,233,204,194,133,186,217,230,195,132,203,234,254,247,172,150,207,196,197,218,209]",2024-06-07T15:16:52.265797+01:00,01HZSGTDSECRM5WQ4V7V3SNG36,2024-06-07T15:14:40.700989+01:00," grvfqcx",2024-06-07T15:14:40.700989+01:00,43,2024-06-07T15:20:53.254621+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T15:14:40.711227+01:00,Solo,2024-06-07T15:14:40.711227+01:00,{},2024-06-07T15:14:40.729209+01:00
01HZYFBB2RDS1JF0TG618KWCHV,175,2024-06-09T13:25:29.903779+01:00,"[178,7,11,15,122,90,97,104,28,1,10,110,39,14,25,17,59,null]",2024-06-09T13:26:23.291763+01:00,game terminated,2024-06-09T13:26:23.285934+01:00,true,2024-06-09T13:26:26.044698+01:00,"{""feedback"":""""}",2024-06-09T13:26:26.042137+01:00,01HZYFAS3B49W56082E8FY3SX3,2024-06-09T13:25:09.985372+01:00,true,2024-06-09T13:25:12.913959+01:00,"[105,43,40,41,3,111,63,78,107,123,121,64,72,83,125,95,86,null]",2024-06-09T13:26:23.291763+01:00,"[105,178,43,7,40,11,41,15,3,122,111,90,63,97,78,104,107,28,123,1,121,10,64,110,72,39,83,14,125,25,95,17,86,59]",2024-06-09T13:26:18.422041+01:00,01HZYFBB2A57Z8QH5F8RPJPTQF,2024-06-09T13:25:09.976176+01:00,gbqvfcxe,2024-06-09T13:25:09.976176+01:00,18,2024-06-09T13:26:23.30431+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-09T13:25:09.985372+01:00,Solo,2024-06-09T13:25:09.985372+01:00,{},2024-06-09T13:25:09.997153+01:00
01HZFFZ5VPWEKY4YB2GG81JR8P,220,2024-06-03T17:48:24.963043+01:00,,,game ended,2024-06-03T17:54:23.905929+01:00,true,2024-06-03T17:54:25.989918+01:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2024-06-03T17:54:25.989623+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:23.51848+01:00,true,2024-06-03T17:47:26.026789+01:00,,,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",2024-06-03T17:52:33.816165+01:00,01HZFFZ5V65W3SJEDNRX83EXJV,2024-06-03T17:47:23.510629+01:00,me_test_xrdtcfgvhbjknlm,2024-06-03T17:47:23.510629+01:00,50,2024-06-03T17:52:33.824152+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-03T17:47:23.51848+01:00,Solo,2024-06-03T17:47:23.51848+01:00,{},2024-06-03T17:47:23.529052+01:00
01HZKV04EYKHPR1JMKAFXXTTPY,,,,,,,,,,,,,,,,,,,01HZHDJ83E8EPQ84BMV0D5NECZ,2024-06-05T10:17:06.91101+01:00,Percy Pig,2024-06-05T10:17:06.91101+01:00,,,,,,,,
