id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01HZN350JDEMT92HRRXJY0SB9T,01HZN32ABZ0GWY5J96DED1P3QC,2024-06-05T21:58:49.805768+01:00,01HZN32ACHFC97P7HVXVAA0JRC,2024-06-05T21:58:49.805768+01:00,01HZN34YGQJVW39ZPXPZ8PDNN2,2024-06-05T21:58:49.805768+01:00
01HZFFZ8B0TR1C9PHWAGC5MCT6,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.04822+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.04822+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:47:26.04822+01:00
01HZHCNERT1M7X14F2WNGXWJY6,01HZHCJCJ6FEFEZ7D15KFFM0EP,2024-06-04T11:28:08.090401+01:00,01HZHCJCJVC2B3XPR9E4DREYWS,2024-06-04T11:28:08.090401+01:00,01HZHCN79NFQ1JD9CKATAGXRFQ,2024-06-04T11:28:08.090401+01:00
01HZHDJE0E8DJZ8RMCQ3A4KPA0,01HZHDH5HC2Y07710VWBHB3GPD,2024-06-04T11:43:57.582768+01:00,01HZHDH5HQ5NPNCVSGWRZ5TM5T,2024-06-04T11:43:57.582768+01:00,01HZHDJ8426ECNK90CR9RPTWGY,2024-06-04T11:43:57.582768+01:00
01HZMQQYDBS6T6GJ9YJPW3WJET,01HZMQQ6FSDQCJC3B3BNPPRAGQ,2024-06-05T18:39:27.275248+01:00,01HZMQQ6G8AM0M24Z3GMZTW51T,2024-06-05T18:39:27.275248+01:00,01HZMQQT6V2YP9J6YX4G3H07WD,2024-06-05T18:39:27.275248+01:00
01HZMWMSAF1F9578KM1TZDTZNE,01HZMWBSTKCF4358NMQNRWJ72G,2024-06-05T20:05:06.639887+01:00,01HZMWBSV30XRF82ZM7CVVERGT,2024-06-05T20:05:06.639887+01:00,01HZMWJHXS3GMMP2122V26VT8Q,2024-06-05T20:05:06.639887+01:00
01HZYSXXX2M5M988PFFYVPJHDM,01HZYSXPSZ5A7F9H696B6J3PE0,2024-06-09T16:30:04.834025+01:00,01HZYSXPTR5VQZ8NCNJ1VASSZY,2024-06-09T16:30:04.834025+01:00,01HZYSXVEJH9TBV0G3VVJH10Y0,2024-06-09T16:30:04.834025+01:00
01HZH1NM8J5QRDAYRGYCKFDDEA,01HZH1KRR0J1XS5AZ53TMM3VEA,2024-06-04T08:15:59.378113+01:00,01HZH1KRRJREHB0RVRS5TRPKQN,2024-06-04T08:15:59.378113+01:00,01HZH1NHEM4QGJ1HNF0H4YW4VD,2024-06-04T08:15:59.378113+01:00
01HZHD2T0CSA5NT6EE208WBCBW,01HZHCJTZ02E2HB1TF67XQZQEB,2024-06-04T11:35:25.580685+01:00,01HZHCJTZAKYGS2K0FNHA9EKRR,2024-06-04T11:35:25.580685+01:00,01HZHD2EB8SEPQV6SN8WW391NA,2024-06-04T11:35:25.580685+01:00
01HZMYB1CMXRVG0QED1RSTS4CC,01HZMYAPFS4WP2868YQ6KAPA92,2024-06-05T20:34:44.372151+01:00,01HZMYAPG5N42EK8SQF2MNGAYT,2024-06-05T20:34:44.372151+01:00,01HZMYAYC13PXTE0MQVPE5R8Y6,2024-06-05T20:34:44.372151+01:00
01HZSDZZBB07NZM7ZBBQ1WJ8T7,01HZSDZN03KYPJJR9JJVJ13D2Q,2024-06-07T14:25:16.779626+01:00,01HZSDZN0GYX9RKNV9Z23N1GZV,2024-06-07T14:25:16.779626+01:00,01HZSDZWSY6Z06AGZG8S7NR4YZ,2024-06-07T14:25:16.779626+01:00
01HZSEVYKXV19EHWYAY70JTTAN,01HZSEVNF9BB7BB6AT3R7V1RPB,2024-06-07T14:40:33.533721+01:00,01HZSEVNFPZ7DNF34SY5G0EKE6,2024-06-07T14:40:33.533721+01:00,01HZSEVW8T6D7WZ3KFC6A898PM,2024-06-07T14:40:33.533721+01:00
01HZSH657Z6GER0BM7PZ3YMZD2,01HZSH5TN747MRNQBYWKCAMNQH,2024-06-07T15:21:05.151985+01:00,01HZSH5TPHX4XFJHM59FC8JH7H,2024-06-07T15:21:05.151985+01:00,01HZSH62S1YVBR46FJFJ1T8WVQ,2024-06-07T15:21:05.151985+01:00
01HZKWZEGPM8RAWBYSZ2DMZPJD,01HZKWZ2N1HQM73CXRWXVV180Z,2024-06-05T10:51:41.590275+01:00,01HZKWZ2NBSYA83F7NBETADF40,2024-06-05T10:51:41.590275+01:00,01HZKWZB7AKPEG0KMD98369600,2024-06-05T10:51:41.590275+01:00
01HZSGA4J3ECMBJJPG5AT9SXHY,01HZSG9T0TZBK9W6QR9KEN15FG,2024-06-07T15:05:46.948022+01:00,01HZSG9T1GTJ9QS8TQXQF6VFJP,2024-06-07T15:05:46.948022+01:00,01HZSGA1C6BZF5D7VHFM70V23H,2024-06-07T15:05:46.948022+01:00
01HZYFBDZB1B2Y6BG1H2SQ9XXT,01HZYFAS2XKE18VZ2A5KY7B189,2024-06-09T13:25:12.939764+01:00,01HZYFAS3B49W56082E8FY3SX3,2024-06-09T13:25:12.939764+01:00,01HZYFBB2RDS1JF0TG618KWCHV,2024-06-09T13:25:12.939764+01:00
01HZHCPG74YGVSY2YAYF59N7ZH,01HZHCJP1MENGDSFT8ZG4AQFNY,2024-06-04T11:28:42.340781+01:00,01HZHCJP21JVY94168DC87KCRP,2024-06-04T11:28:42.340781+01:00,01HZHCPCZAHXCWJT130ZF4G3GR,2024-06-04T11:28:42.340781+01:00
01HZSGTFWC33RZ38AFGR3YBWCB,01HZSGT7QNTFC0VX4G50G6AAAC,2024-06-07T15:14:42.828921+01:00,01HZSGT7RC0HKT1MN5HQC4EGMK,2024-06-07T15:14:42.828921+01:00,01HZSGTDSWQDNS7RK28FS655GR,2024-06-07T15:14:42.828921+01:00
01HZSJ1Z0AGQ7CBZRYNYKZHJM2,01HZSJ1KX9KV3BX2EY6VQEAB6J,2024-06-07T15:36:16.266182+01:00,01HZSJ1KY2QFPSG8X4JF0RDPFR,2024-06-07T15:36:16.266182+01:00,01HZSJ1WEHPHDXZQPSADGXT4GG,2024-06-07T15:36:16.266182+01:00
01HZYFEWGXGYZV59GKZS182M8V,01HZYFDTT3D83F64EZV1WVJXF0,2024-06-09T13:27:06.141343+01:00,01HZYFDTTNMSZSFAQBZWDH130V,2024-06-09T13:27:06.141343+01:00,01HZYFDZGBQYQFVA1FGBD8S1F0,2024-06-09T13:27:06.141343+01:00
01HZN00GMMB17BP376TMHF54QR,01HZN0050VDBNNEXHRP0AQ08YS,2024-06-05T21:03:56.692376+01:00,01HZN0051C9YE3SMGZ7PTMNH0N,2024-06-05T21:03:56.692376+01:00,01HZN00CXTZFMC12W5A0F9F7RC,2024-06-05T21:03:56.692376+01:00
01HZSFMJ7XGD4DBDAD32KTZ7Z2,01HZSFMAQQQHRT6XBHJV48DSKG,2024-06-07T14:54:00.061045+01:00,01HZSFMAR8H3RXQCYKK5562K1S,2024-06-07T14:54:00.061045+01:00,01HZSFMFYRHEA212G79PEZMWHT,2024-06-07T14:54:00.061045+01:00
01HZSM3C33E2YQWXG1GT5A8NZS,01HZSM33EY2XCHP3KBV9QTK0YY,2024-06-07T16:11:59.587767+01:00,01HZSM33G3XR867PD9RPHE0PZR,2024-06-07T16:11:59.587767+01:00,01HZSM3A6Z3TC1M6YMHBNRDBP2,2024-06-07T16:11:59.587767+01:00
01HZSMQDBES0MEE60VNJA1ZKCE,01HZSMQ42BM6GQDX10VVJH7SYR,2024-06-07T16:22:56.238578+01:00,01HZSMQ43HJZ142P88TJQ91K1P,2024-06-07T16:22:56.238578+01:00,01HZSMQB5DEA0VWEZ5Z3SVA46C,2024-06-07T16:22:56.238578+01:00
01HZSCT518K38ESSC0F2FMCYHQ,01HZSCSZ1N9Y1SSTM9A1T1218D,2024-06-07T14:04:37.416164+01:00,01HZSCSZ22KKHX4E09XHK620VB,2024-06-07T14:04:37.416164+01:00,01HZSCT2R7T6TEKQJB40EG8CH1,2024-06-07T14:04:37.416164+01:00
01HZSJTM7NWJ8FY8HB1YK6K19Z,01HZSJTAPJW1A09GW14C8HDH3G,2024-06-07T15:49:44.437257+01:00,01HZSJTAQSG36J436YAM13M893,2024-06-07T15:49:44.437257+01:00,01HZSJTHX2N4GRN34XNGATGR1Y,2024-06-07T15:49:44.437257+01:00
01HZYSF0DX4CNSKN526MYZAH13,01HZYSEPKPD3GHHF7052QZ66K2,2024-06-09T16:21:55.901147+01:00,01HZYSEPM7WXD6S54YQBH7E31G,2024-06-09T16:21:55.901147+01:00,01HZYSEXTY3NRWCRM4AKM74YJK,2024-06-09T16:21:55.901147+01:00
01HZKWXDYMNJT9D114PF6D94MD,01HZKWX72H0EBBF5KPKPEE8638,2024-06-05T10:50:35.476412+01:00,01HZKWX72Y12EXS3KRPV2MP4TQ,2024-06-05T10:50:35.476412+01:00,01HZKWXBCK1NHZ6P8SSZKKGW7G,2024-06-05T10:50:35.476412+01:00
01HZSB9PDTDED7W43DDPDXVG4V,01HZSB9EFW02P0NZ930JR32NEN,2024-06-07T13:38:09.594291+01:00,01HZSB9EGFEXV1AQ974G5TP5A6,2024-06-07T13:38:09.594291+01:00,01HZSB9KPS40BTXKNAAX9JDZ8X,2024-06-07T13:38:09.594291+01:00
01HZSFXJ0ZZ3QT8F38DQFH7S9Q,01HZSFX98P79BHJFX9NNV6H575,2024-06-07T14:58:54.751729+01:00,01HZSFX9981ZDSPX9T9XWA51S5,2024-06-07T14:58:54.751729+01:00,01HZSFXFDEP143G3FEXRST9NHM,2024-06-07T14:58:54.751729+01:00
01HZYT649YP5PYR0VP2T88TGG5,01HZYT5W3A314BVC54WW1DC6N1,2024-06-09T16:34:33.534029+01:00,01HZYT5W423K84NZ2FPVZZ9AQ5,2024-06-09T16:34:33.534029+01:00,01HZYT621AAF7NK23C713Y0YJS,2024-06-09T16:34:33.534029+01:00
