id,activeOnDatingApps,activeOnDatingAppsLastChangedAt,additionalComments,additionalCommentsLastChangedAt,appsUsed,appsUsedLastChangedAt,attribute-Age,attribute-AgeLastChangedAt,attribute-Appearance,attribute-AppearanceLastChangedAt,attribute-Beard,attribute-BeardLastChangedAt,attribute-Clothes,attribute-ClothesLastChangedAt,attribute-Facial Expression,attribute-Facial ExpressionLastChangedAt,attribute-Glasses,attribute-GlassesLastChangedAt,attribute-Hair,attribute-HairLastChangedAt,attribute-Hobbies,attribute-HobbiesLastChangedAt,attribute-Job,attribute-JobLastChangedAt,attribute-Pose,attribute-PoseLastChangedAt,batchID,batchIDLastChangedAt,chosenCharacterBeard,chosenCharacterBeardLastChangedAt,chosenCharacterGlasses,chosenCharacterGlassesLastChangedAt,chosenCharacterHair,chosenCharacterHairLastChangedAt,chosenCharacterHobby,chosenCharacterHobbyLastChangedAt,chosenCharacterInfluenceAge,chosenCharacterInfluenceAgeLastChangedAt,chosenCharacterInfluenceAppearance,chosenCharacterInfluenceAppearanceLastChangedAt,chosenCharacterInfluenceBeard,chosenCharacterInfluenceBeardLastChangedAt,chosenCharacterInfluenceClothes,chosenCharacterInfluenceClothesLastChangedAt,chosenCharacterInfluenceFacialExpression,chosenCharacterInfluenceFacialExpressionLastChangedAt,chosenCharacterInfluenceGlasses,chosenCharacterInfluenceGlassesLastChangedAt,chosenCharacterInfluenceHair,chosenCharacterInfluenceHairLastChangedAt,chosenCharacterInfluenceHobbies,chosenCharacterInfluenceHobbiesLastChangedAt,chosenCharacterInfluenceJob,chosenCharacterInfluenceJobLastChangedAt,chosenCharacterInfluencePose,chosenCharacterInfluencePoseLastChangedAt,chosenCharacterSimilar_age,chosenCharacterSimilar_ageLastChangedAt,chosenCharacterSimilar_appearance,chosenCharacterSimilar_appearanceLastChangedAt,chosenCharacterSimilar_beard,chosenCharacterSimilar_beardLastChangedAt,chosenCharacterSimilar_clothes,chosenCharacterSimilar_clothesLastChangedAt,chosenCharacterSimilar_glasses,chosenCharacterSimilar_glassesLastChangedAt,chosenCharacterSimilar_hair,chosenCharacterSimilar_hairLastChangedAt,chosenCharacterSimilar_hobbies,chosenCharacterSimilar_hobbiesLastChangedAt,chosenCharacterSimilar_job,chosenCharacterSimilar_jobLastChangedAt,chosenProfile,chosenProfileLastChangedAt,dislikedProfile,dislikedProfileLastChangedAt,factor-Age,factor-AgeLastChangedAt,factor-Appearance,factor-AppearanceLastChangedAt,factor-Dietary preferences,factor-Dietary preferencesLastChangedAt,factor-Education Level,factor-Education LevelLastChangedAt,factor-Ethnicity,factor-EthnicityLastChangedAt,factor-Height,factor-HeightLastChangedAt,factor-Hobbies,factor-HobbiesLastChangedAt,factor-Income level,factor-Income levelLastChangedAt,factor-Language spoken,factor-Language spokenLastChangedAt,factor-Mental Health,factor-Mental HealthLastChangedAt,factor-Nationality,factor-NationalityLastChangedAt,factor-Number of children,factor-Number of childrenLastChangedAt,factor-Pet ownership,factor-Pet ownershipLastChangedAt,factor-Physical Health,factor-Physical HealthLastChangedAt,factor-Political affiliation,factor-Political affiliationLastChangedAt,factor-Popularity on App,factor-Popularity on AppLastChangedAt,factor-Profession,factor-ProfessionLastChangedAt,factor-Race / Ethnicity,factor-Race / EthnicityLastChangedAt,factor-Relationship history,factor-Relationship historyLastChangedAt,factor-Social media activity,factor-Social media activityLastChangedAt,frequency,frequencyLastChangedAt,gameID,gameIDLastChangedAt,likedProfile,likedProfileLastChangedAt,ownProfileID,ownProfileIDLastChangedAt,playerID,playerIDLastChangedAt,recommend-Age,recommend-AgeLastChangedAt,recommend-Appearance,recommend-AppearanceLastChangedAt,recommend-Dietary preferences,recommend-Dietary preferencesLastChangedAt,recommend-Education Level,recommend-Education LevelLastChangedAt,recommend-Ethnicity,recommend-EthnicityLastChangedAt,recommend-Height,recommend-HeightLastChangedAt,recommend-Hobbies,recommend-HobbiesLastChangedAt,recommend-Income level,recommend-Income levelLastChangedAt,recommend-Language spoken,recommend-Language spokenLastChangedAt,recommend-Mental Health,recommend-Mental HealthLastChangedAt,recommend-Nationality,recommend-NationalityLastChangedAt,recommend-Number of children,recommend-Number of childrenLastChangedAt,recommend-Pet ownership,recommend-Pet ownershipLastChangedAt,recommend-Physical Health,recommend-Physical HealthLastChangedAt,recommend-Political affiliation,recommend-Political affiliationLastChangedAt,recommend-Popularity on App,recommend-Popularity on AppLastChangedAt,recommend-Profession,recommend-ProfessionLastChangedAt,recommend-Race / Ethnicity,recommend-Race / EthnicityLastChangedAt,recommend-Relationship history,recommend-Relationship historyLastChangedAt,recommend-Social media activity,recommend-Social media activityLastChangedAt,recommendationDiversity,recommendationDiversityLastChangedAt,recommendationQuality,recommendationQualityLastChangedAt,roundID,roundIDLastChangedAt,surveyAttributeAge,surveyAttributeAgeLastChangedAt,surveyAttributeAppearance,surveyAttributeAppearanceLastChangedAt,surveyAttributeBeard,surveyAttributeBeardLastChangedAt,surveyAttributeClothes,surveyAttributeClothesLastChangedAt,surveyAttributeFacialExpression,surveyAttributeFacialExpressionLastChangedAt,surveyAttributeGlasses,surveyAttributeGlassesLastChangedAt,surveyAttributeHair,surveyAttributeHairLastChangedAt,surveyAttributeHobbies,surveyAttributeHobbiesLastChangedAt,surveyAttributeJob,surveyAttributeJobLastChangedAt,surveyAttributePose,surveyAttributePoseLastChangedAt,surveySystemImprovement,surveySystemImprovementLastChangedAt,surveyVariety,surveyVarietyLastChangedAt,systemVariety,systemVarietyLastChangedAt
01HZYT18NZZV4D2TBEXBJXMD0A,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSXPSZ5A7F9H696B6J3PE0,2024-06-09T16:31:54.175088+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2024-06-09T16:31:55.678721+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSXPTR5VQZ8NCNJ1VASSZY,2024-06-09T16:31:54.175088+01:00,0,2024-06-09T16:31:55.683143+01:00,1,2024-06-09T16:31:54.187232+01:00,01HZYSXVEJH9TBV0G3VVJH10Y0,2024-06-09T16:31:54.175088+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSXY2DR91SRTCW7J52BS11,2024-06-09T16:31:54.175088+01:00,,,,,,,,,,,,,,,,,,,,,notSure,2024-06-09T16:31:58.888163+01:00,notSure,2024-06-09T16:31:58.883512+01:00,,
01HZYT8EKZYGDP6YVGJQQ4CHBN,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYT5W3A314BVC54WW1DC6N1,2024-06-09T16:35:49.631732+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2024-06-09T16:35:51.369467+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYT5W423K84NZ2FPVZZ9AQ5,2024-06-09T16:35:49.631732+01:00,15,2024-06-09T16:35:51.364128+01:00,1,2024-06-09T16:35:49.645896+01:00,01HZYT621AAF7NK23C713Y0YJS,2024-06-09T16:35:49.631732+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYT64EDRW4XWXWPKSS0JWR7,2024-06-09T16:35:49.631732+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,
01HZN36YBX9MKXSGR2E34CXPNM,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZN32ABZ0GWY5J96DED1P3QC,2024-06-05T21:59:53.085489+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2024-06-05T22:00:00.350847+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZN32ACHFC97P7HVXVAA0JRC,2024-06-05T21:59:53.085489+01:00,181,2024-06-05T22:00:00.349616+01:00,1,2024-06-05T21:59:53.092547+01:00,01HZN34YGQJVW39ZPXPZ8PDNN2,2024-06-05T21:59:53.085489+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZN350MBDJCGNV8MXP03ZDRM,2024-06-05T21:59:53.085489+01:00,chosenBetter,2024-06-05T22:00:00.345147+01:00,chosenBetter,2024-06-05T22:00:00.343133+01:00,,,,,,,,,,,chosenBetter,2024-06-05T22:00:00.346554+01:00,chosenBetter,2024-06-05T22:00:00.348724+01:00,,,,,,,,
01HZSM8M2KVN9CWXRPPZA5F44K,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZSM33EY2XCHP3KBV9QTK0YY,2024-06-07T16:14:51.603916+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,2024-06-07T16:21:17.276334+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZSM33G3XR867PD9RPHE0PZR,2024-06-07T16:14:51.603916+01:00,163,2024-06-07T16:21:17.268217+01:00,1,2024-06-07T16:14:51.624008+01:00,01HZSM3A6Z3TC1M6YMHBNRDBP2,2024-06-07T16:14:51.603916+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZSM3C9E2GQ48WX4RNK2YPMN,2024-06-07T16:14:51.603916+01:00,chosenBetter,2024-06-07T16:21:23.141347+01:00,chosenBetter,2024-06-07T16:21:23.133069+01:00,,,,,,,,,,,chosenBetter,2024-06-07T16:21:23.149917+01:00,chosenBetter,2024-06-07T16:21:23.15849+01:00,,,,,,,,
01HZYSW28JVWG1BAC6T81KPJTF,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSEPKPD3GHHF7052QZ66K2,2024-06-09T16:29:03.762584+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2024-06-09T16:29:05.521268+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSEPM7WXD6S54YQBH7E31G,2024-06-09T16:29:03.762584+01:00,46,2024-06-09T16:29:05.51675+01:00,1,2024-06-09T16:29:03.774079+01:00,01HZYSEXTY3NRWCRM4AKM74YJK,2024-06-09T16:29:03.762584+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSF0FQ0T4D8A9R3J85CGAJ,2024-06-09T16:29:03.762584+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,
01HZYT1KMJ2KJ1EDVTRMRWYZCZ,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSXPSZ5A7F9H696B6J3PE0,2024-06-09T16:32:05.394427+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2024-06-09T16:32:06.76077+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSXPTR5VQZ8NCNJ1VASSZY,2024-06-09T16:32:05.394427+01:00,35,2024-06-09T16:32:06.756786+01:00,1,2024-06-09T16:32:05.407669+01:00,01HZYSXVEJH9TBV0G3VVJH10Y0,2024-06-09T16:32:05.394427+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYSXY2Y1KM57YD6EWY2ZSWM,2024-06-09T16:32:05.394427+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,
01HZYT8D2EZ4057Y77JQWX2114,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYT5W3A314BVC54WW1DC6N1,2024-06-09T16:35:48.046495+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,2024-06-09T16:35:49.575379+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYT5W423K84NZ2FPVZZ9AQ5,2024-06-09T16:35:48.046495+01:00,115,2024-06-09T16:35:49.570621+01:00,1,2024-06-09T16:35:48.060288+01:00,01HZYT621AAF7NK23C713Y0YJS,2024-06-09T16:35:48.046495+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZYT64E68839ZJTP22XJ18QA,2024-06-09T16:35:48.046495+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,
01HZH1Z8RCZRA8HBKR8453GWTM,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZH1KRR0J1XS5AZ53TMM3VEA,2024-06-04T08:21:15.276191+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2024-06-04T08:27:25.862417+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZH1KRRJREHB0RVRS5TRPKQN,2024-06-04T08:21:15.276191+01:00,84,2024-06-04T08:27:25.862145+01:00,1,2024-06-04T08:21:15.279798+01:00,01HZH1NHEM4QGJ1HNF0H4YW4VD,2024-06-04T08:21:15.276191+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZH1NMA7X5YMB5HCXZ511AH9,2024-06-04T08:21:15.276191+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,
01HZKXM70TQQ1GHB3CEJK93DNY,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZKWZ2N1HQM73CXRWXVV180Z,2024-06-05T11:03:02.042554+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2024-06-05T11:03:05.223527+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZKWZ2NBSYA83F7NBETADF40,2024-06-05T11:03:02.042554+01:00,207,2024-06-05T11:03:05.222262+01:00,1,2024-06-05T11:03:02.048129+01:00,01HZKWZB7AKPEG0KMD98369600,2024-06-05T11:03:02.042554+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZKWZEK3QG21H78G5NKPW9R4,2024-06-05T11:03:02.042554+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,
01HZMX8HFG6F5SE87GXYCZY7QA,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZMWBSTKCF4358NMQNRWJ72G,2024-06-05T20:15:53.968501+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,2024-06-05T20:16:01.047286+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZMWBSV30XRF82ZM7CVVERGT,2024-06-05T20:15:53.968501+01:00,190,2024-06-05T20:16:01.0462+01:00,1,2024-06-05T20:15:53.974351+01:00,01HZMWJHXS3GMMP2122V26VT8Q,2024-06-05T20:15:53.968501+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01HZMWMSCQH5G0XGYGTMY9AHPR,2024-06-05T20:15:53.968501+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,
