id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01HZN350MPN35EMPXXZ8F77FQV,01HZN32ABZ0GWY5J96DED1P3QC,2024-06-05T21:58:49.878432+01:00,3000,2024-06-05T21:58:49.878432+01:00,true,2024-06-05T22:02:35.372464+01:00,01HZN32ACHFC97P7HVXVAA0JRC,2024-06-05T21:58:49.878432+01:00,21,2024-06-05T21:58:49.878432+01:00,Round 21,2024-06-05T21:58:49.878432+01:00,1,2024-06-05T21:58:50.049019+01:00,true,2024-06-05T22:02:33.664864+01:00
01HZHD2T2BYH21YKY91T5ZKXKY,01HZHCJTZ02E2HB1TF67XQZQEB,2024-06-04T11:35:25.64307+01:00,3000,2024-06-04T11:35:25.64307+01:00,false,2024-06-04T11:35:25.64307+01:00,01HZHCJTZAKYGS2K0FNHA9EKRR,2024-06-04T11:35:25.64307+01:00,21,2024-06-04T11:35:25.64307+01:00,Round 21,2024-06-04T11:35:25.64307+01:00,1,2024-06-04T11:35:25.786781+01:00,false,2024-06-04T11:35:25.64307+01:00
01HZHDJE403SG6X4RRBXJ2YKE3,01HZHDH5HC2Y07710VWBHB3GPD,2024-06-04T11:43:57.696113+01:00,3000,2024-06-04T11:43:57.696113+01:00,true,2024-06-04T11:53:21.272646+01:00,01HZHDH5HQ5NPNCVSGWRZ5TM5T,2024-06-04T11:43:57.696113+01:00,47,2024-06-04T11:43:57.696113+01:00,Round 47,2024-06-04T11:43:57.696113+01:00,1,2024-06-04T11:43:58.156595+01:00,true,2024-06-04T11:53:16.759973+01:00
01HZN350MK47ZN1TPSTMKW2S1M,01HZN32ABZ0GWY5J96DED1P3QC,2024-06-05T21:58:49.875313+01:00,3000,2024-06-05T21:58:49.875313+01:00,true,2024-06-05T22:02:24.285735+01:00,01HZN32ACHFC97P7HVXVAA0JRC,2024-06-05T21:58:49.875313+01:00,17,2024-06-05T21:58:49.875313+01:00,Round 17,2024-06-05T21:58:49.875313+01:00,1,2024-06-05T21:58:50.027141+01:00,true,2024-06-05T22:02:22.825949+01:00
01HZSJTMDKCH8C182WWTS7GY9R,01HZSJTAPJW1A09GW14C8HDH3G,2024-06-07T15:49:44.627815+01:00,3000,2024-06-07T15:49:44.627815+01:00,true,2024-06-07T15:58:13.807357+01:00,01HZSJTAQSG36J436YAM13M893,2024-06-07T15:49:44.627815+01:00,30,2024-06-07T15:49:44.627815+01:00,Round 30,2024-06-07T15:49:44.627815+01:00,1,2024-06-07T15:49:45.314438+01:00,true,2024-06-07T15:56:25.591331+01:00
01HZYFBE30CHT2N5503CW8F9QE,01HZYFAS2XKE18VZ2A5KY7B189,2024-06-09T13:25:13.056365+01:00,3000,2024-06-09T13:25:13.056365+01:00,false,2024-06-09T13:25:13.056365+01:00,01HZYFAS3B49W56082E8FY3SX3,2024-06-09T13:25:13.056365+01:00,37,2024-06-09T13:25:13.056365+01:00,Round 37,2024-06-09T13:25:13.056365+01:00,1,2024-06-09T13:25:13.367896+01:00,false,2024-06-09T13:25:13.056365+01:00
01HZFFZ8D64VHEPDRVFP23HWMD,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.118508+01:00,3000,2024-06-03T17:47:26.118508+01:00,true,2024-06-03T17:51:38.423828+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.118508+01:00,32,2024-06-03T17:47:26.118508+01:00,Round 32,2024-06-03T17:47:26.118508+01:00,1,2024-06-03T17:47:26.339334+01:00,true,2024-06-03T17:51:21.950771+01:00
01HZKWXE0SRE9P42BR3RWS4JSJ,01HZKWX72H0EBBF5KPKPEE8638,2024-06-05T10:50:35.545728+01:00,3000,2024-06-05T10:50:35.545728+01:00,false,2024-06-05T10:50:35.545728+01:00,01HZKWX72Y12EXS3KRPV2MP4TQ,2024-06-05T10:50:35.545728+01:00,28,2024-06-05T10:50:35.545728+01:00,Round 28,2024-06-05T10:50:35.545728+01:00,1,2024-06-05T10:50:35.719205+01:00,false,2024-06-05T10:50:35.545728+01:00
01HZSFXJ5GQ2EXKC1QVGSXG2FQ,01HZSFX98P79BHJFX9NNV6H575,2024-06-07T14:58:54.896734+01:00,3000,2024-06-07T14:58:54.896734+01:00,false,2024-06-07T14:58:54.896734+01:00,01HZSFX9981ZDSPX9T9XWA51S5,2024-06-07T14:58:54.896734+01:00,49,2024-06-07T14:58:54.896734+01:00,Round 49,2024-06-07T14:58:54.896734+01:00,1,2024-06-07T14:58:55.390176+01:00,false,2024-06-07T14:58:54.896734+01:00
01HZHD2T2PE03RJHFAQ6DPDDZD,01HZHCJTZ02E2HB1TF67XQZQEB,2024-06-04T11:35:25.654276+01:00,3000,2024-06-04T11:35:25.654276+01:00,false,2024-06-04T11:35:25.654276+01:00,01HZHCJTZAKYGS2K0FNHA9EKRR,2024-06-04T11:35:25.654276+01:00,37,2024-06-04T11:35:25.654276+01:00,Round 37,2024-06-04T11:35:25.654276+01:00,1,2024-06-04T11:35:25.866751+01:00,false,2024-06-04T11:35:25.654276+01:00
01HZKWZEK6NBMA8TVAAEHWY11W,01HZKWZ2N1HQM73CXRWXVV180Z,2024-06-05T10:51:41.670194+01:00,3000,2024-06-05T10:51:41.670194+01:00,true,2024-06-05T11:08:37.587458+01:00,01HZKWZ2NBSYA83F7NBETADF40,2024-06-05T10:51:41.670194+01:00,49,2024-06-05T10:51:41.670194+01:00,Round 49,2024-06-05T10:51:41.670194+01:00,1,2024-06-05T10:51:41.942922+01:00,true,2024-06-05T11:08:32.643116+01:00
01HZMQQYFKRF22D81B11Z6EPAW,01HZMQQ6FSDQCJC3B3BNPPRAGQ,2024-06-05T18:39:27.347228+01:00,3000,2024-06-05T18:39:27.347228+01:00,true,2024-06-05T19:23:07.726803+01:00,01HZMQQ6G8AM0M24Z3GMZTW51T,2024-06-05T18:39:27.347228+01:00,22,2024-06-05T18:39:27.347228+01:00,Round 22,2024-06-05T18:39:27.347228+01:00,1,2024-06-05T18:39:27.502315+01:00,true,2024-06-05T19:23:05.183551+01:00
01HZMYB1EE0X2833GSDGGJ7GNS,01HZMYAPFS4WP2868YQ6KAPA92,2024-06-05T20:34:44.430026+01:00,3000,2024-06-05T20:34:44.430026+01:00,true,2024-06-05T20:51:21.534237+01:00,01HZMYAPG5N42EK8SQF2MNGAYT,2024-06-05T20:34:44.430026+01:00,11,2024-06-05T20:34:44.430026+01:00,Round 11,2024-06-05T20:34:44.430026+01:00,1,2024-06-05T20:34:44.536359+01:00,true,2024-06-05T20:51:18.862923+01:00
01HZSFXJ3RP3SCRTF014309AY0,01HZSFX98P79BHJFX9NNV6H575,2024-06-07T14:58:54.84008+01:00,3000,2024-06-07T14:58:54.84008+01:00,true,2024-06-07T15:00:00.589425+01:00,01HZSFX9981ZDSPX9T9XWA51S5,2024-06-07T14:58:54.84008+01:00,20,2024-06-07T14:58:54.84008+01:00,Round 20,2024-06-07T14:58:54.84008+01:00,1,2024-06-07T14:58:55.108534+01:00,true,2024-06-07T14:59:54.668612+01:00
