id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01J06ZG1M9M8MKE2K8Y0TPQ721,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:16.809117+01:00,true,2024-06-12T20:43:23.589508+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:16.809117+01:00,1,2024-06-12T20:41:16.809117+01:00,swipeRound,2024-06-12T20:41:16.809117+01:00,50,2024-06-12T20:41:16.921768+01:00,true,2024-06-12T20:41:32.68701+01:00
01J06ZG1M9M8MKE2K8YDH2ZH1E,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:16.809294+01:00,true,2024-06-12T20:43:56.144897+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:16.809294+01:00,2,2024-06-12T20:41:16.809294+01:00,afterRounds,2024-06-12T20:41:16.809294+01:00,2,2024-06-12T20:41:16.934357+01:00,true,2024-06-12T20:43:23.596296+01:00
01J06ZN79A90F0JK67HN5ERMKA,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.442369+01:00,true,2024-06-12T20:46:24.271377+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.442369+01:00,1,2024-06-12T20:44:06.442369+01:00,swipeRound,2024-06-12T20:44:06.442369+01:00,50,2024-06-12T20:44:06.553119+01:00,true,2024-06-12T20:44:31.866976+01:00
01J06ZWAA5D0CT1V1CDEH5C8HY,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:47:58.91707+01:00,true,2024-06-12T20:50:51.706409+01:00,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:47:58.91707+01:00,2,2024-06-12T20:47:58.91707+01:00,afterRounds,2024-06-12T20:47:58.91707+01:00,2,2024-06-12T20:47:59.033772+01:00,true,2024-06-12T20:50:16.585281+01:00
01J0701Z2SA8WANEWZG52G5T98,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.025724+01:00,true,2024-06-12T20:53:41.462047+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.025724+01:00,2,2024-06-12T20:51:04.025724+01:00,afterRounds,2024-06-12T20:51:04.025724+01:00,2,2024-06-12T20:51:04.164093+01:00,true,2024-06-12T20:53:18.763062+01:00
01J0701Z2RBHF3J1WSEYM867PG,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.024725+01:00,true,2024-06-12T20:51:21.963411+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.024725+01:00,0,2024-06-12T20:51:04.024725+01:00,preRounds,2024-06-12T20:51:04.024725+01:00,3,2024-06-12T20:51:04.040653+01:00,true,2024-06-12T20:51:04.193849+01:00
01J0701Z2SA8WANEWZFVFVBX7A,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.025213+01:00,true,2024-06-12T20:53:18.755491+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.025213+01:00,1,2024-06-12T20:51:04.025213+01:00,swipeRound,2024-06-12T20:51:04.025213+01:00,50,2024-06-12T20:51:04.154614+01:00,true,2024-06-12T20:51:21.968488+01:00
01J06ZG1M64MJR11XQ1GEWA2W6,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:16.806692+01:00,true,2024-06-12T20:41:32.681813+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:16.806692+01:00,0,2024-06-12T20:41:16.806692+01:00,preRounds,2024-06-12T20:41:16.806692+01:00,3,2024-06-12T20:41:16.826485+01:00,true,2024-06-12T20:41:16.95999+01:00
01J06ZN79A90F0JK67H6X99H06,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.442052+01:00,true,2024-06-12T20:44:31.862501+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.442052+01:00,0,2024-06-12T20:44:06.442052+01:00,preRounds,2024-06-12T20:44:06.442052+01:00,3,2024-06-12T20:44:06.459251+01:00,true,2024-06-12T20:44:06.585797+01:00
01J06ZN79D2D1ZSHG85VN9BPCC,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.44512+01:00,true,2024-06-12T20:46:49.81049+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.44512+01:00,2,2024-06-12T20:44:06.44512+01:00,afterRounds,2024-06-12T20:44:06.44512+01:00,2,2024-06-12T20:44:06.560103+01:00,true,2024-06-12T20:46:24.297761+01:00
01J06ZWAA3TYYDPSKST4MVKKCG,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:47:58.915682+01:00,true,2024-06-12T20:48:17.002384+01:00,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:47:58.915682+01:00,0,2024-06-12T20:47:58.915682+01:00,preRounds,2024-06-12T20:47:58.915682+01:00,3,2024-06-12T20:47:58.931953+01:00,true,2024-06-12T20:47:59.060233+01:00
01J06ZWAA4P3B4WRSHXV6231GE,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:47:58.916022+01:00,true,2024-06-12T20:50:16.578982+01:00,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:47:58.916022+01:00,1,2024-06-12T20:47:58.916022+01:00,swipeRound,2024-06-12T20:47:58.916022+01:00,50,2024-06-12T20:47:59.026547+01:00,true,2024-06-12T20:48:17.010128+01:00
