id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01J0GBA3DN42MR6N7N65BSEV4D,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.837109357Z,3000,2024-06-16T11:00:54.837109357Z,true,2024-06-16T11:01:37.127516811Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.837109357Z,9,2024-06-16T11:00:54.837109357Z,true,2024-06-16T11:01:31.86917542Z,swipeProfile_10,2024-06-16T11:00:54.837109357Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:00:54.837109357Z,true,2024-06-16T11:01:31.859885748Z,true,2024-06-16T11:01:31.886421472Z,01J0GBA3CPQJBYP5Z1RHGNEEM8,2024-06-16T11:00:54.837109357Z
01J0GBA3DN42MR6N7N6QXS21XA,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.837328719Z,3000,2024-06-16T11:00:54.837328719Z,true,2024-06-16T11:01:38.860029166Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.837328719Z,10,2024-06-16T11:00:54.837328719Z,true,2024-06-16T11:01:37.153839475Z,swipeProfile_11,2024-06-16T11:00:54.837328719Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:00:54.837328719Z,true,2024-06-16T11:01:37.141144265Z,true,2024-06-16T11:01:37.173457366Z,01J0GBA3CTEPVDT27R9QYRMV9M,2024-06-16T11:00:54.837328719Z
01J0GBA3DKCVG5SWJTE42RYTN9,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.835424567Z,3000,2024-06-16T11:00:54.835424567Z,true,2024-06-16T11:01:17.615953933Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.835424567Z,2,2024-06-16T11:00:54.835424567Z,true,2024-06-16T11:01:16.090430183Z,swipeProfile_3,2024-06-16T11:00:54.835424567Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:00:54.835424567Z,true,2024-06-16T11:01:16.073457958Z,true,2024-06-16T11:01:16.120044113Z,01J0GBA3BP1VSNGDEA75VP1XKF,2024-06-16T11:00:54.835424567Z
01J0GBA3DME9RFVTHFKS47HZ16,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.836348725Z,3000,2024-06-16T11:00:54.836348725Z,true,2024-06-16T11:01:28.883158067Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.836348725Z,6,2024-06-16T11:00:54.836348725Z,true,2024-06-16T11:01:27.40920301Z,swipeProfile_7,2024-06-16T11:00:54.836348725Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:00:54.836348725Z,true,2024-06-16T11:01:27.391314884Z,true,2024-06-16T11:01:27.433959401Z,01J0GBA3C7RA4YTD8WJN89QYBE,2024-06-16T11:00:54.836348725Z
01J0GBDF5HGJDGH2579EH0V4WZ,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.169505344Z,3000,2024-06-16T11:02:45.169505344Z,true,2024-06-16T11:03:45.900217141Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.169505344Z,0,2024-06-16T11:02:45.169505344Z,true,2024-06-16T11:03:36.052000657Z,endSurveyRecommendationSystem,2024-06-16T11:02:45.169505344Z,01J0GBDF0ZJ6QAAM5K9PQQC3DE,2024-06-16T11:02:45.169505344Z,true,2024-06-16T11:03:36.037902159Z,true,2024-06-16T11:03:36.067097145Z,01J0GBDF595EGSNEPB2Z0G21GV,2024-06-16T11:02:45.169505344Z
01J0GBDF414KN6M1NDQ6M1PMA7,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.12152675Z,3000,2024-06-16T11:02:45.12152675Z,true,2024-06-16T11:03:15.86172412Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.12152675Z,5,2024-06-16T11:02:45.12152675Z,true,2024-06-16T11:03:14.358151531Z,swipeProfile_6,2024-06-16T11:02:45.12152675Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:02:45.12152675Z,true,2024-06-16T11:03:14.338155684Z,true,2024-06-16T11:03:14.399066884Z,01J0GBDF2RNZ7CAAN6FV5SJCPB,2024-06-16T11:02:45.12152675Z
01J0GBDF4P1C87PTPW06SMVBGA,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.142383824Z,3000,2024-06-16T11:02:45.142383824Z,true,2024-06-16T11:03:34.33362309Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.142383824Z,13,2024-06-16T11:02:45.142383824Z,true,2024-06-16T11:03:29.997627233Z,swipeProfile_14,2024-06-16T11:02:45.142383824Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:02:45.142383824Z,true,2024-06-16T11:03:29.985427445Z,true,2024-06-16T11:03:30.021702385Z,01J0GBDF3N0B0CB4RN0K4H6M31,2024-06-16T11:02:45.142383824Z
01J0GBDF414KN6M1NDN93HR0ZH,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.121012421Z,3000,2024-06-16T11:02:45.121012421Z,true,2024-06-16T11:03:07.778339082Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.121012421Z,2,2024-06-16T11:02:45.121012421Z,true,2024-06-16T11:03:06.201737021Z,swipeProfile_3,2024-06-16T11:02:45.121012421Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:02:45.121012421Z,true,2024-06-16T11:03:06.188982697Z,true,2024-06-16T11:03:06.227686978Z,01J0GBDF2D8A3KXY04S786EGDS,2024-06-16T11:02:45.121012421Z
01J0GBDF421TVXTF5E4DDDTF60,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.122165358Z,3000,2024-06-16T11:02:45.122165358Z,true,2024-06-16T11:03:21.52875185Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.122165358Z,9,2024-06-16T11:02:45.122165358Z,true,2024-06-16T11:03:20.140011747Z,swipeProfile_10,2024-06-16T11:02:45.122165358Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:02:45.122165358Z,true,2024-06-16T11:03:20.127426237Z,true,2024-06-16T11:03:20.160307531Z,01J0GBDF36CKHF80BWM0FNJXE4,2024-06-16T11:02:45.122165358Z
01J0GBA3B2PT389WC7ZXPA62T7,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.754230567Z,3000,2024-06-16T11:00:54.754230567Z,true,2024-06-16T11:01:12.704401748Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.754230567Z,2,2024-06-16T11:00:54.754230567Z,true,2024-06-16T11:01:03.402528883Z,chooseCharacter,2024-06-16T11:00:54.754230567Z,01J0GBA3A08F5XDXEYA71F5R73,2024-06-16T11:00:54.754230567Z,true,2024-06-16T11:01:03.386546221Z,true,2024-06-16T11:01:03.420779696Z,01J0GBA3AVH7TJQKTN39YE7D5B,2024-06-16T11:00:54.754230567Z
