id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01J0GTA7CJQN29NZV2TTV3GBZC,1,2024-06-16T16:23:33.903326+01:00,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:07.538685+01:00,false,2024-06-16T16:23:07.538685+01:00,batch ended,2024-06-16T16:38:59.636181+01:00,01J0GTA7DFQHYPRJZJP4JP481T,2024-06-16T16:23:07.569022+01:00,01J0GTB14K02YAGHN7BEDV3STA,2024-06-16T16:23:33.912358+01:00,2,2024-06-16T16:23:33.930141+01:00,01J0GTB18SDNH88SEBH5KHWAHN,2024-06-16T16:35:03.05959+01:00,true,2024-06-16T16:23:33.903326+01:00,true,2024-06-16T16:23:33.903326+01:00,terminated,2024-06-16T16:38:59.636181+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:23:07.538685+01:00,Solo,2024-06-16T16:23:07.538685+01:00
01J0GVAJ9VZH5FTVQNC23X9FZ8,,,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:47.291275+01:00,false,2024-06-16T16:40:47.291275+01:00,batch ended,2024-06-17T08:49:43.080911+01:00,01J0GVAJABZF0YXEJBRPF2QKP3,2024-06-16T16:40:47.309086+01:00,,,,,,,false,2024-06-16T16:40:47.291275+01:00,,,terminated,2024-06-17T08:49:43.080911+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:40:47.291275+01:00,Solo,2024-06-16T16:40:47.291275+01:00
01J0JKQTAXEMP18WDPYZAAS6R5,1,2024-06-17T09:07:03.127853+01:00,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:06:41.757289+01:00,true,2024-06-17T09:14:55.313848+01:00,end of game,2024-06-17T09:14:55.321941+01:00,01J0JKQTBESN9SPV44S5TXX9BY,2024-06-17T09:06:41.776568+01:00,01J0JKRF6VSYV0D2WJANGNQEEJ,2024-06-17T09:07:03.135978+01:00,2,2024-06-17T09:07:03.151824+01:00,null,2024-06-17T09:14:55.313848+01:00,true,2024-06-17T09:07:03.127853+01:00,true,2024-06-17T09:07:03.127853+01:00,ended,2024-06-17T09:14:55.321941+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-17T09:06:41.757289+01:00,Solo,2024-06-17T09:06:41.757289+01:00
01J0G9H7AH3167FT7HC9PGJVC9,1,2024-06-16T11:30:03.554785+01:00,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:29:51.058015+01:00,true,2024-06-16T11:32:32.602655+01:00,end of game,2024-06-16T11:32:32.610692+01:00,01J0G9H7BSMMH40C3C7459WQDF,2024-06-16T11:29:51.099362+01:00,01J0G9HKH6DS5JYYN4XRC59FNZ,2024-06-16T11:30:03.564324+01:00,2,2024-06-16T11:30:03.583374+01:00,null,2024-06-16T11:32:32.602655+01:00,true,2024-06-16T11:30:03.554785+01:00,true,2024-06-16T11:30:03.554785+01:00,ended,2024-06-16T11:32:32.610692+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T11:29:51.058015+01:00,Solo,2024-06-16T11:29:51.058015+01:00
01J0GV7A7FZM4QB8ERJ9JXP9QY,1,2024-06-16T16:39:09.393554+01:00,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:00.719229+01:00,true,2024-06-16T16:40:46.066569+01:00,batch ended,2024-06-16T16:40:46.041415+01:00,01J0GV7A8MM1TXD6M6KHH2QT94,2024-06-16T16:39:00.758318+01:00,01J0GV7JPP01C70959Y22R8AE7,2024-06-16T16:39:09.402998+01:00,2,2024-06-16T16:39:09.419607+01:00,null,2024-06-16T16:40:46.066569+01:00,true,2024-06-16T16:39:09.393554+01:00,true,2024-06-16T16:39:09.393554+01:00,terminated,2024-06-16T16:40:46.041415+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:39:00.719229+01:00,Solo,2024-06-16T16:39:00.719229+01:00
01J0GVAJ9VZH5FTVQNCK6GA41M,1,2024-06-16T16:40:57.10296+01:00,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:47.291815+01:00,false,2024-06-16T16:40:47.291815+01:00,batch ended,2024-06-17T08:49:43.080911+01:00,01J0GVAJASWJQF9KP3NT7YRHS7,2024-06-16T16:40:47.323144+01:00,01J0GVAVWJB2Z98BE9FBW4S7VA,2024-06-16T16:40:57.110343+01:00,2,2024-06-16T16:40:57.125096+01:00,01J0GVAW04HQQX1RZ4XJ88380V,2024-06-16T16:42:20.449674+01:00,true,2024-06-16T16:40:57.10296+01:00,true,2024-06-16T16:40:57.10296+01:00,terminated,2024-06-17T08:49:43.080911+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:40:47.291815+01:00,Solo,2024-06-16T16:40:47.291815+01:00
01J0JKF4TENJBC51WBN7DH2E5M,1,2024-06-17T09:02:06.189908+01:00,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:01:57.582968+01:00,false,2024-06-17T09:01:57.582968+01:00,batch ended,2024-06-17T09:06:39.982389+01:00,01J0JKF4TZCEKT38FMXZV3CMYM,2024-06-17T09:01:57.601745+01:00,01J0JKFD7JFSM638Y91JD6KNS8,2024-06-17T09:02:06.198516+01:00,2,2024-06-17T09:02:06.215932+01:00,01J0JKFDB3SPA17E46M5DXW0VN,2024-06-17T09:05:15.211867+01:00,true,2024-06-17T09:02:06.189908+01:00,true,2024-06-17T09:02:06.189908+01:00,terminated,2024-06-17T09:06:39.982389+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-17T09:01:57.582968+01:00,Solo,2024-06-17T09:01:57.582968+01:00
01J0JKQTAXEMP18WDPZ76XGYJP,1,2024-06-17T09:15:13.796109+01:00,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:06:41.757922+01:00,true,2024-06-17T09:17:52.756956+01:00,end of game,2024-06-17T09:17:52.764543+01:00,01J0JKQTBWQH3VKDRKWQ5Z52K6,2024-06-17T09:06:41.790383+01:00,01J0JM7EC87H5RV9RDV2SHVE4B,2024-06-17T09:15:13.804361+01:00,2,2024-06-17T09:15:13.821588+01:00,null,2024-06-17T09:17:52.756956+01:00,true,2024-06-17T09:15:13.796109+01:00,true,2024-06-17T09:15:13.796109+01:00,ended,2024-06-17T09:17:52.764543+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-17T09:06:41.757922+01:00,Solo,2024-06-17T09:06:41.757922+01:00
01J0GV7A7E6FHFTFJBHCCXMTK2,,,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:00.718151+01:00,false,2024-06-16T16:39:00.718151+01:00,batch ended,2024-06-16T16:40:46.041415+01:00,01J0GV7A827PDTHXAD35FRAK6N,2024-06-16T16:39:00.740828+01:00,,,,,,,false,2024-06-16T16:39:00.718151+01:00,,,terminated,2024-06-16T16:40:46.041415+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:39:00.718151+01:00,Solo,2024-06-16T16:39:00.718151+01:00
01J0GJ36DY9QXSB0ZCJJ7XF3W5,,,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:28.574084+01:00,false,2024-06-16T13:59:28.574084+01:00,batch ended,2024-06-16T16:20:12.897505+01:00,01J0GJ36F33GY6XG2RTS0WW0CV,2024-06-16T13:59:28.613457+01:00,,,,,,,false,2024-06-16T13:59:28.574084+01:00,,,terminated,2024-06-16T16:20:12.897505+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T13:59:28.574084+01:00,Solo,2024-06-16T13:59:28.574084+01:00
01J0GT4XNJSMG4Q5H9Y2VV8N9F,,,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:13.746532+01:00,false,2024-06-16T16:20:13.746532+01:00,batch ended,2024-06-16T16:23:06.6844+01:00,01J0GT4XNZ21W0B50VX7BB8G8D,2024-06-16T16:20:13.761444+01:00,,,,,,,false,2024-06-16T16:20:13.746532+01:00,,,terminated,2024-06-16T16:23:06.6844+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:20:13.746532+01:00,Solo,2024-06-16T16:20:13.746532+01:00
01J0GT4XNJSMG4Q5H9YJ4Y2SGP,1,2024-06-16T16:20:22.905698+01:00,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:13.74692+01:00,true,2024-06-16T16:23:06.816955+01:00,batch ended,2024-06-16T16:23:06.6844+01:00,01J0GT4XQ49CV9D7GR6S8XJGH6,2024-06-16T16:20:13.798623+01:00,01J0GT56KYHQYK3SMBW1VBBF11,2024-06-16T16:20:22.915342+01:00,2,2024-06-16T16:20:22.930986+01:00,null,2024-06-16T16:23:06.816955+01:00,true,2024-06-16T16:20:22.905698+01:00,true,2024-06-16T16:20:22.905698+01:00,terminated,2024-06-16T16:23:06.6844+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:20:13.74692+01:00,Solo,2024-06-16T16:20:13.74692+01:00
01J0GTA7CJQN29NZV2TEVPNHG7,,,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:07.538237+01:00,false,2024-06-16T16:23:07.538237+01:00,batch ended,2024-06-16T16:38:59.636181+01:00,01J0GTA7D04Z4ATKPE19TZRXHH,2024-06-16T16:23:07.554412+01:00,,,,,,,false,2024-06-16T16:23:07.538237+01:00,,,terminated,2024-06-16T16:38:59.636181+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T16:23:07.538237+01:00,Solo,2024-06-16T16:23:07.538237+01:00
01J0JJRRXV99FPA0ETTHG2WFVE,,,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:44.508024+01:00,false,2024-06-17T08:49:44.508024+01:00,batch ended,2024-06-17T09:01:56.538563+01:00,01J0JJRRYX22SPYK6FWDBA2FYP,2024-06-17T08:49:44.54337+01:00,,,,,,,false,2024-06-17T08:49:44.508024+01:00,,,terminated,2024-06-17T09:01:56.538563+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-17T08:49:44.508024+01:00,Solo,2024-06-17T08:49:44.508024+01:00
01J0GJ36DXYRFDX3JF1RYGTTTZ,1,2024-06-16T13:59:47.076249+01:00,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:28.573249+01:00,true,2024-06-16T16:20:13.016856+01:00,batch ended,2024-06-16T16:20:12.897505+01:00,01J0GJ36EJGRFVJBCYDWY311G7,2024-06-16T13:59:28.596816+01:00,01J0GJ3RG9WTDT8H5KWNYT3CXZ,2024-06-16T13:59:47.088361+01:00,2,2024-06-16T13:59:47.104646+01:00,null,2024-06-16T16:20:13.016856+01:00,true,2024-06-16T13:59:47.076249+01:00,true,2024-06-16T13:59:47.076249+01:00,terminated,2024-06-16T16:20:12.897505+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T13:59:28.573249+01:00,Solo,2024-06-16T13:59:28.573249+01:00
01J0JJRRXTQZ2XNT1W96649X86,1,2024-06-17T08:49:54.332418+01:00,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:44.50661+01:00,false,2024-06-17T08:49:44.50661+01:00,batch ended,2024-06-17T09:01:56.538563+01:00,01J0JJRRYDCJNA4J4T1MJYQMJG,2024-06-17T08:49:44.527257+01:00,01J0JJS2H1G4M5AP7VF18C0DB7,2024-06-17T08:49:54.340903+01:00,2,2024-06-17T08:49:54.358104+01:00,01J0JJS2N5S2JQ85YNH60DVANP,2024-06-17T09:01:19.071155+01:00,true,2024-06-17T08:49:54.332418+01:00,true,2024-06-17T08:49:54.332418+01:00,terminated,2024-06-17T09:01:56.538563+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-17T08:49:44.50661+01:00,Solo,2024-06-17T08:49:44.50661+01:00
01J0JKF4TGEMCZ4VT7AHW3R594,,,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:01:57.584294+01:00,false,2024-06-17T09:01:57.584294+01:00,batch ended,2024-06-17T09:06:39.982389+01:00,01J0JKF4VF5SCHFVW5HRSS99AX,2024-06-17T09:01:57.618121+01:00,,,,,,,false,2024-06-17T09:01:57.584294+01:00,,,terminated,2024-06-17T09:06:39.982389+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-17T09:01:57.584294+01:00,Solo,2024-06-17T09:01:57.584294+01:00
01J0G9H7AH3167FT7HBTVAC08A,1,2024-06-16T11:32:45.707297+01:00,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:29:51.057719+01:00,true,2024-06-16T11:35:28.179494+01:00,end of game,2024-06-16T11:35:28.185793+01:00,01J0G9H7B634Q69XTXQRGNS0DX,2024-06-16T11:29:51.081108+01:00,01J0G9PHWF30PQK9HKAGMN9P6E,2024-06-16T11:32:45.71511+01:00,2,2024-06-16T11:32:45.729028+01:00,null,2024-06-16T11:35:28.179494+01:00,true,2024-06-16T11:32:45.707297+01:00,true,2024-06-16T11:32:45.707297+01:00,ended,2024-06-16T11:35:28.185793+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T11:29:51.057719+01:00,Solo,2024-06-16T11:29:51.057719+01:00
