id,CharacterChoice_Influence_Age,CharacterChoice_Influence_AgeLastChangedAt,CharacterChoice_Influence_Appearance,CharacterChoice_Influence_AppearanceLastChangedAt,CharacterChoice_Influence_Hobbies,CharacterChoice_Influence_HobbiesLastChangedAt,CharacterChoice_Influence_Job,CharacterChoice_Influence_JobLastChangedAt,CharacterChoice_Similarity_Similar_age,CharacterChoice_Similarity_Similar_ageLastChangedAt,CharacterChoice_Similarity_Similar_appearance,CharacterChoice_Similarity_Similar_appearanceLastChangedAt,CharacterChoice_Similarity_Similar_hobbies,CharacterChoice_Similarity_Similar_hobbiesLastChangedAt,CharacterChoice_Similarity_Similar_job,CharacterChoice_Similarity_Similar_jobLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Age,EndDatingAppSurvey_AlgorithmShouldUseRecommend-AgeLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Appearance,EndDatingAppSurvey_AlgorithmShouldUseRecommend-AppearanceLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Education Level,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Education LevelLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Ethnicity,EndDatingAppSurvey_AlgorithmShouldUseRecommend-EthnicityLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Hobbies,EndDatingAppSurvey_AlgorithmShouldUseRecommend-HobbiesLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Physical Health,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Physical HealthLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Profession,EndDatingAppSurvey_AlgorithmShouldUseRecommend-ProfessionLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Age,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-AgeLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Appearance,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-AppearanceLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Education Level,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Education LevelLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Ethnicity,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-EthnicityLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Hobbies,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-HobbiesLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Physical Health,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Physical HealthLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Profession,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-ProfessionLastChangedAt,EndDatingAppSurvey_activeOnDatingApps,EndDatingAppSurvey_activeOnDatingAppsLastChangedAt,EndDatingAppSurvey_datingAppsUsed,EndDatingAppSurvey_datingAppsUsedLastChangedAt,EndDatingAppSurvey_frequencyDatingAppUsage,EndDatingAppSurvey_frequencyDatingAppUsageLastChangedAt,EndRecSystemSurvey_additionalComments,EndRecSystemSurvey_additionalCommentsLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Age,EndRecSystemSurvey_algorithmLearntAttribute-AgeLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Appearance,EndRecSystemSurvey_algorithmLearntAttribute-AppearanceLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Hobbies,EndRecSystemSurvey_algorithmLearntAttribute-HobbiesLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Job,EndRecSystemSurvey_algorithmLearntAttribute-JobLastChangedAt,EndRecSystemSurvey_recommendationDiversity,EndRecSystemSurvey_recommendationDiversityLastChangedAt,EndRecSystemSurvey_recommendationQuality,EndRecSystemSurvey_recommendationQualityLastChangedAt,EndRecSystemSurvey_systemVariety,EndRecSystemSurvey_systemVarietyLastChangedAt,SwipeProfileChoiceSurvey_AttributeAge,SwipeProfileChoiceSurvey_AttributeAgeLastChangedAt,SwipeProfileChoiceSurvey_AttributeAppearance,SwipeProfileChoiceSurvey_AttributeAppearanceLastChangedAt,SwipeProfileChoiceSurvey_AttributeHobbies,SwipeProfileChoiceSurvey_AttributeHobbiesLastChangedAt,SwipeProfileChoiceSurvey_AttributeJob,SwipeProfileChoiceSurvey_AttributeJobLastChangedAt,SwipeProfileRecommendationSurvey_Improvement,SwipeProfileRecommendationSurvey_ImprovementLastChangedAt,SwipeProfileRecommendationSurvey_Variety,SwipeProfileRecommendationSurvey_VarietyLastChangedAt,batchID,batchIDLastChangedAt,chosenCharacterBeard,chosenCharacterBeardLastChangedAt,chosenCharacterGlasses,chosenCharacterGlassesLastChangedAt,chosenCharacterHair,chosenCharacterHairLastChangedAt,chosenCharacterHobby,chosenCharacterHobbyLastChangedAt,chosenProfile,chosenProfileLastChangedAt,dislikedProfile,dislikedProfileLastChangedAt,gameID,gameIDLastChangedAt,likedProfile,likedProfileLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01J0JMBTEGPJ08T5E9H2QW61ZJ,,,,,,,,,,,,,,,,,Should maybe use,2024-06-17T09:17:52.730009+01:00,Should maybe use,2024-06-17T09:17:52.729526+01:00,Should maybe use,2024-06-17T09:17:52.731773+01:00,Should maybe use,2024-06-17T09:17:52.732824+01:00,Should maybe use,2024-06-17T09:17:52.730392+01:00,Should maybe use,2024-06-17T09:17:52.732277+01:00,Should maybe use,2024-06-17T09:17:52.730986+01:00,,,,,,,,,,,,,,,I have never been active on a dating app,2024-06-17T09:17:52.727377+01:00,[],2024-06-17T09:17:52.72897+01:00,,2024-06-17T09:17:52.728245+01:00,,2024-06-17T09:17:45.032558+01:00,Learned slowly,2024-06-17T09:17:45.027468+01:00,Learned slowly,2024-06-17T09:17:45.026817+01:00,Learned slowly,2024-06-17T09:17:45.028277+01:00,Learned slowly,2024-06-17T09:17:45.028998+01:00,The diversity of recommendations was balanced and appropriate,2024-06-17T09:17:45.034175+01:00,"Some recommendations were good, and some not so good",2024-06-17T09:17:45.031951+01:00,Focused on suggesting matches closely aligned with your character’s established preferences,2024-06-17T09:17:45.033683+01:00,,,,,,,,,,,,,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:17:37.232187+01:00,,,,,,,,,,,,,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:17:37.232187+01:00,,,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:17:37.232187+01:00,01J0JM7ECWZ3CKVTBZXSQT14DY,2024-06-17T09:17:37.232187+01:00
01J0GJ4ABE32GETHF21BZACHF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chosenBetter,2024-06-16T14:02:08.886312+01:00,chosenBetter,2024-06-16T14:02:08.886682+01:00,chosenBetter,2024-06-16T14:02:08.887347+01:00,chosenBetter,2024-06-16T14:02:08.887028+01:00,notSure,2024-06-16T14:16:01.64485+01:00,notSure,2024-06-16T14:16:01.645368+01:00,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T14:00:05.358999+01:00,,,,,,,,,,,3,2024-06-16T16:20:08.053776+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T14:00:05.358999+01:00,5,2024-06-16T16:20:08.053453+01:00,01J0GJ3ACZY1R3EVCG4Z8XTKZS,2024-06-16T14:00:05.358999+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T14:00:05.358999+01:00
01J0GVAWHBHF4ZDPZTB4D38KSA,somewhatInfluential,2024-06-16T16:41:18.253829+01:00,somewhatInfluential,2024-06-16T16:41:18.253391+01:00,somewhatInfluential,2024-06-16T16:41:18.254387+01:00,somewhatInfluential,2024-06-16T16:41:18.255271+01:00,notSimilar,2024-06-16T16:41:18.250388+01:00,notSimilar,2024-06-16T16:41:18.251317+01:00,notSimilar,2024-06-16T16:41:18.251973+01:00,notSimilar,2024-06-16T16:41:18.252451+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:57.771378+01:00,No,2024-06-16T16:41:06.6374+01:00,Yes,2024-06-16T16:41:06.63604+01:00,Long,2024-06-16T16:41:06.637031+01:00,Music,2024-06-16T16:41:06.636566+01:00,173,2024-06-16T16:41:18.255624+01:00,,,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:40:57.771378+01:00,,,01J0GVASJQRD6JX90W26HZTGJ2,2024-06-16T16:40:57.771378+01:00,01J0GVAVX32NMHAHVA451RM88S,2024-06-16T16:40:57.771378+01:00
01J0JKFZMNCYJDWDF7YPBXFMGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:25.045262+01:00,,,,,,,,,,,30,2024-06-17T09:06:24.787471+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:25.045262+01:00,20,2024-06-17T09:06:24.768984+01:00,01J0JKFB83WSXXETQ1YZCMRNS0,2024-06-17T09:02:25.045262+01:00,01J0JKFD86K00RP403ZZQFJYGJ,2024-06-17T09:02:25.045262+01:00
01J0JM69HZNTACCXHT62SVNTMH,,,,,,,,,,,,,,,,,Should definitely use,2024-06-17T09:14:55.288707+01:00,Should definitely use,2024-06-17T09:14:55.29027+01:00,Should definitely use,2024-06-17T09:14:55.291614+01:00,Should definitely use,2024-06-17T09:14:55.292639+01:00,Should definitely use,2024-06-17T09:14:55.289279+01:00,Should definitely use,2024-06-17T09:14:55.292117+01:00,Should definitely use,2024-06-17T09:14:55.291216+01:00,,,,,,,,,,,,,,,I have never been active on a dating app,2024-06-17T09:14:55.289753+01:00,[],2024-06-17T09:14:55.290713+01:00,,2024-06-17T09:14:55.287992+01:00,,2024-06-17T09:14:45.61339+01:00,Learned slowly,2024-06-17T09:14:45.609129+01:00,Learned slowly,2024-06-17T09:14:45.609931+01:00,Learned slowly,2024-06-17T09:14:45.611095+01:00,Learned slowly,2024-06-17T09:14:45.611666+01:00,The recommendations were too varied and inconsistent,2024-06-17T09:14:45.615167+01:00,"Some recommendations were good, and some not so good",2024-06-17T09:14:45.612861+01:00,Focused on suggesting matches closely aligned with your character’s established preferences,2024-06-17T09:14:45.61228+01:00,,,,,,,,,,,,,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:14:36.095058+01:00,,,,,,,,,,,,,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:14:36.095058+01:00,,,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:14:36.095058+01:00,01J0JKRF7F23TPZY70518D0X2X,2024-06-17T09:14:36.095058+01:00
01J0JM85DB1X5H7PP5ATJSNRMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-17T09:15:50.339617+01:00,same,2024-06-17T09:15:50.338029+01:00,same,2024-06-17T09:15:50.338651+01:00,same,2024-06-17T09:15:50.339165+01:00,worse,2024-06-17T09:17:12.851008+01:00,tooMuch,2024-06-17T09:16:21.785275+01:00,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:37.387807+01:00,,,,,,,,,,,247,2024-06-17T09:17:33.613282+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:37.387807+01:00,248,2024-06-17T09:17:33.612693+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:15:37.387807+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:37.387807+01:00
01J0G9J44CBE3G4VPS1ZQXQVBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chosenBetter,2024-06-16T11:31:36.734883+01:00,chosenBetter,2024-06-16T11:31:36.734672+01:00,chosenBetter,2024-06-16T11:31:36.73511+01:00,chosenBetter,2024-06-16T11:31:20.362928+01:00,worse,2024-06-16T11:31:53.457877+01:00,tooMuch,2024-06-16T11:30:45.909505+01:00,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:20.556854+01:00,,,,,,,,,,,172,2024-06-16T11:32:09.415373+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:20.556854+01:00,47,2024-06-16T11:32:09.41514+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:30:20.556854+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:30:20.556854+01:00
01J0G9Q270Q903E11VF13NMA1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-16T11:33:16.072346+01:00,same,2024-06-16T11:34:04.645651+01:00,chosenBetter,2024-06-16T11:34:22.702335+01:00,same,2024-06-16T11:34:22.702656+01:00,notSure,2024-06-16T11:34:57.234125+01:00,tooMuch,2024-06-16T11:34:57.233808+01:00,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:33:02.43206+01:00,,,,,,,,,,,95,2024-06-16T11:34:53.840789+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:33:02.43206+01:00,24,2024-06-16T11:34:53.841149+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:33:02.43206+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:33:02.43206+01:00
01J0G9TJB8F13JSF1J54D3BX7D,,,,,,,,,,,,,,,,,Should maybe use,2024-06-16T11:35:28.161226+01:00,Should maybe use,2024-06-16T11:35:28.160979+01:00,Should maybe use,2024-06-16T11:35:28.163088+01:00,Should maybe use,2024-06-16T11:35:28.163363+01:00,Should maybe use,2024-06-16T11:35:28.161429+01:00,Should definitely use,2024-06-16T11:35:28.163622+01:00,Should maybe not use,2024-06-16T11:35:28.162529+01:00,Very Important,2024-06-16T11:35:28.156663+01:00,Very Important,2024-06-16T11:35:28.155885+01:00,Not Important,2024-06-16T11:35:28.159875+01:00,Quite Important,2024-06-16T11:35:28.160549+01:00,Quite Important,2024-06-16T11:35:28.15692+01:00,Not Very Important,2024-06-16T11:35:28.160282+01:00,Quite Important,2024-06-16T11:35:28.160779+01:00,I am not currently active on dating apps but was in the past.,2024-06-16T11:35:28.155555+01:00,"[""Bumble"",""OkCupid""]",2024-06-16T11:35:28.156066+01:00,Daily,2024-06-16T11:35:28.155101+01:00,,2024-06-16T11:35:06.037514+01:00,Learned slowly,2024-06-16T11:35:06.032856+01:00,Learned quickly,2024-06-16T11:35:06.033243+01:00,Learned slowly,2024-06-16T11:35:06.03361+01:00,Learned quickly,2024-06-16T11:35:06.034119+01:00,The recommendations were too similar and lacked diversity,2024-06-16T11:35:06.039632+01:00,"Some recommendations were good, and some not so good",2024-06-16T11:35:06.037213+01:00,"Showed a variety of potential matches, even if they didn't perfectly match your character’s preferences",2024-06-16T11:35:06.039005+01:00,,,,,,,,,,,,,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:34:57.256876+01:00,,,,,,,,,,,,,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:34:57.256876+01:00,,,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:34:57.256876+01:00,01J0G9PHX14FN9QJFQTT1HYRA8,2024-06-16T11:34:57.256876+01:00
01J0GV85J6YQDZDGS3F9AP9Z44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:28.710136+01:00,,,,,,,,,,,41,2024-06-16T16:39:42.590377+01:00,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:28.710136+01:00,32,2024-06-16T16:39:42.589848+01:00,01J0GV7GRZ6WWCXDDW2VCPBM65,2024-06-16T16:39:28.710136+01:00,01J0GV7JQB7F2ANFTXQDZSCTRW,2024-06-16T16:39:28.710136+01:00
