id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J0G9KPD7R62YSF3RB7MJFGXC,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:31:12.039063+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:31:12.039063+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:31:12.039063+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:31:12.039063+01:00,01J0G9HKMZJWZPT9WDZ65DXYXB,2024-06-16T11:31:12.039063+01:00,true,2024-06-16T11:31:13.496475+01:00
01J0G9MQN8BP3VG89NVXZADZRZ,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:31:46.088879+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:31:46.088879+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:31:46.088879+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:31:46.088879+01:00,01J0G9HKN1PB1W4J3KACGHJ30V,2024-06-16T11:31:46.088879+01:00,true,2024-06-16T11:31:47.568058+01:00
01J0G9NCZVCREE64044P9S9RK7,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:07.931668+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:32:07.931668+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:32:07.931668+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:32:07.931668+01:00,01J0G9HKN27S94M3SJH1VQQ07T,2024-06-16T11:32:07.931668+01:00,true,2024-06-16T11:32:12.878915+01:00
01J0G9Q6WM64CEXD6ER4ZXRGSN,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:33:07.220171+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:33:07.220171+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:33:07.220171+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:33:07.220171+01:00,01J0G9PJ0K7DN8K69NG2NENFNZ,2024-06-16T11:33:07.220171+01:00,true,2024-06-16T11:33:08.771082+01:00
01J0G9RKDFJ9CKV0J1J33B0Y1Y,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:33:52.815992+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:33:52.815992+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:33:52.815992+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:33:52.815992+01:00,01J0G9PJ0PEZSH067GV9K3XPVW,2024-06-16T11:33:52.815992+01:00,true,2024-06-16T11:33:54.53565+01:00
01J0JM17PJWWQ5N50HEKYMN7Z9,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:11:50.354491+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:11:50.354491+01:00,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:11:50.354491+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:11:50.354491+01:00,01J0JKRFANT80T50NV2VJC7H4B,2024-06-17T09:11:50.354491+01:00,true,2024-06-17T09:11:51.796048+01:00
01J0JMAB438SBT62DGJDZSZEPT,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:16:48.771834+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:16:48.771834+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:16:48.771834+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:16:48.771834+01:00,01J0JM7EFXR0EN6TV5QJ6HA2R0,2024-06-17T09:16:48.771834+01:00,true,2024-06-17T09:16:55.478696+01:00
01J0GT579TM1V543H9V8CZX31H,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:23.610755+01:00,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:23.610755+01:00,01J0GT5482ZQB87AEW2V5C4B2N,2024-06-16T16:20:23.610755+01:00,01J0GT56MJ148KMT33PATECK4E,2024-06-16T16:20:23.610755+01:00,01J0GT56MZYQ8HCG6PWX31HB78,2024-06-16T16:20:23.610755+01:00,true,2024-06-16T16:20:24.57419+01:00
01J0JKRFXQ7G6ZNZKW2DZQ9S9W,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.863836+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.863836+01:00,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:07:03.863836+01:00,01J0JKRF7ENZSHHFWJ4WRKNYEK,2024-06-17T09:07:03.863836+01:00,01J0JKRF7T5BS62BDBYGJJ7THX,2024-06-17T09:07:03.863836+01:00,true,2024-06-17T09:07:05.234509+01:00
01J0JM5T330D3562XMKH0NZSK0,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:14:20.25917+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:14:20.25917+01:00,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:14:20.25917+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:14:20.25917+01:00,01J0JKRFAXM0HJPFHF1WCFDMQ0,2024-06-17T09:14:20.25917+01:00,true,2024-06-17T09:14:21.784651+01:00
