id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01J0GTB18NHAZB3PRDG4WDXZSX,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:34.037999+01:00,3000,2024-06-16T16:23:34.037999+01:00,true,2024-06-16T16:32:23.333088+01:00,,,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:34.037999+01:00,14,2024-06-16T16:23:34.037999+01:00,true,2024-06-16T16:32:21.91791+01:00,swipeProfile_15,2024-06-16T16:23:34.037999+01:00,01J0GTB159PJ5CR41CKFWMCC8A,2024-06-16T16:23:34.037999+01:00,true,2024-06-16T16:32:21.910493+01:00,true,2024-06-16T16:32:21.92433+01:00,,,01J0GTB16W35PEX44XFFV2BSD3,2024-06-16T16:23:34.037999+01:00
01J0JJS2NC7QKMQQYVRRPKXVD5,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:54.476402+01:00,3000,2024-06-17T08:49:54.476402+01:00,false,2024-06-17T08:49:54.476402+01:00,,,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:49:54.476402+01:00,26,2024-06-17T08:49:54.476402+01:00,,,swipeProfile_27,2024-06-17T08:49:54.476402+01:00,01J0JJS2HNQ57T97DJF53PFRMT,2024-06-17T08:49:54.476402+01:00,false,2024-06-17T08:49:54.476402+01:00,,,,,01J0JJS2KTGMC0Y1HVFFG5SK5B,2024-06-17T08:49:54.476402+01:00
01J0JKFDB3SPA17E46M5DXW0VN,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:06.307194+01:00,3000,2024-06-17T09:02:06.307194+01:00,false,2024-06-17T09:02:06.307194+01:00,batch ended,2024-06-17T09:06:39.982389+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:06.307194+01:00,2,2024-06-17T09:02:06.307194+01:00,true,2024-06-17T09:05:15.22272+01:00,swipeProfile_3,2024-06-17T09:02:06.307194+01:00,01J0JKFD86K00RP403ZZQFJYGJ,2024-06-17T09:02:06.307194+01:00,true,2024-06-17T09:05:15.211867+01:00,true,2024-06-17T09:05:15.233972+01:00,ended,2024-06-17T09:06:39.982389+01:00,01J0JKFD8VXQ16HQQMBF0KDWPA,2024-06-17T09:02:06.307194+01:00
01J0G9HKN0XJCNXZJQETNDQTPP,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:03.680601+01:00,3000,2024-06-16T11:30:03.680601+01:00,true,2024-06-16T11:31:38.317595+01:00,,,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:03.680601+01:00,32,2024-06-16T11:30:03.680601+01:00,true,2024-06-16T11:31:36.754384+01:00,swipeProfile_33,2024-06-16T11:30:03.680601+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:30:03.680601+01:00,true,2024-06-16T11:31:36.747149+01:00,true,2024-06-16T11:31:36.763801+01:00,,,01J0G9HKKZQ9DT7Z1CAV71N729,2024-06-16T11:30:03.680601+01:00
01J0GJ3RKXR730YXXF8CZ0VFN9,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.197107+01:00,3000,2024-06-16T13:59:47.197107+01:00,true,2024-06-16T16:20:00.64516+01:00,,,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.197107+01:00,17,2024-06-16T13:59:47.197107+01:00,true,2024-06-16T14:40:17.548557+01:00,swipeProfile_18,2024-06-16T13:59:47.197107+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T13:59:47.197107+01:00,true,2024-06-16T14:40:17.531799+01:00,true,2024-06-16T14:40:17.562153+01:00,,,01J0GJ3RJAYHQRY46CMMYQ08TW,2024-06-16T13:59:47.197107+01:00
01J0JKRFAQCGC27DBHHE43VT8S,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.255099+01:00,3000,2024-06-17T09:07:03.255099+01:00,true,2024-06-17T09:12:11.835714+01:00,,,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.255099+01:00,19,2024-06-17T09:07:03.255099+01:00,true,2024-06-17T09:12:06.993355+01:00,swipeProfile_20,2024-06-17T09:07:03.255099+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:07:03.255099+01:00,true,2024-06-17T09:12:06.98554+01:00,true,2024-06-17T09:12:07.001+01:00,,,01J0JKRF9017V5VA18HMA7DZSR,2024-06-17T09:07:03.255099+01:00
01J0GJ3RKTE0SWZTQ7HA20VMDM,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.194556+01:00,3000,2024-06-16T13:59:47.194556+01:00,true,2024-06-16T14:02:10.84156+01:00,,,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.194556+01:00,5,2024-06-16T13:59:47.194556+01:00,true,2024-06-16T14:02:08.914149+01:00,swipeProfile_6,2024-06-16T13:59:47.194556+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T13:59:47.194556+01:00,true,2024-06-16T14:02:08.906695+01:00,true,2024-06-16T14:02:08.92705+01:00,,,01J0GJ3RHRM6QKQC8F2E4EKGPP,2024-06-16T13:59:47.194556+01:00
01J0GV7JTBFW08Z48W13NRX598,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:09.5155+01:00,3000,2024-06-16T16:39:09.5155+01:00,false,2024-06-16T16:39:09.5155+01:00,,,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:09.5155+01:00,11,2024-06-16T16:39:09.5155+01:00,,,swipeProfile_12,2024-06-16T16:39:09.5155+01:00,01J0GV7JQB7F2ANFTXQDZSCTRW,2024-06-16T16:39:09.5155+01:00,false,2024-06-16T16:39:09.5155+01:00,,,,,01J0GV7JRFZJXVQXSV79PBMVXP,2024-06-16T16:39:09.5155+01:00
01J0JKRFAZFNQG6911W4GTCEVM,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.263496+01:00,3000,2024-06-17T09:07:03.263496+01:00,true,2024-06-17T09:14:36.07419+01:00,,,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.263496+01:00,49,2024-06-17T09:07:03.263496+01:00,true,2024-06-17T09:14:31.069545+01:00,swipeProfile_50,2024-06-17T09:07:03.263496+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:07:03.263496+01:00,true,2024-06-17T09:14:31.063549+01:00,true,2024-06-17T09:14:31.074883+01:00,,,01J0JKRFAB40WMSG63MJDS15DX,2024-06-17T09:07:03.263496+01:00
01J0GT56QENV4WA46N1G94JA0X,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:23.022951+01:00,3000,2024-06-16T16:20:23.022951+01:00,true,2024-06-16T16:22:51.340238+01:00,,,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:23.022951+01:00,2,2024-06-16T16:20:23.022951+01:00,true,2024-06-16T16:22:49.005093+01:00,swipeProfile_3,2024-06-16T16:20:23.022951+01:00,01J0GT56MH4QE84J6XED7T2QMW,2024-06-16T16:20:23.022951+01:00,true,2024-06-16T16:22:48.995327+01:00,true,2024-06-16T16:22:49.012582+01:00,,,01J0GT56N8PGWF1FC10SG8A7Y1,2024-06-16T16:20:23.022951+01:00
